,DRIVER_NUMBER,LAPS,FL_KPH,HOUR,MANUFACTURER,TOTAL_TIME,KPH,Unnamed: 25,NUMBER,DRIVER_SHORTNAME,S2_LARGE,GROUP,FL_LAPNUM,CROSSING_FINISH_LINE_IN_PIT,PIT_TIME,VEHICLE,TEAM,LAP_IMPROVEMENT,CLASS,S2_IMPROVEMENT,TOP_SPEED,DRIVER_COUNTRY,STATUS,ELAPSED,ï»¿POSITION,TIRES,DRIVER_NAME,S3_LARGE,GAP_PREVIOUS,LAP_NUMBER,ï»¿NUMBER,S2,GAP_FIRST,DIVISION,DRIVER_SECONDNAME,DRIVER_FIRSTNAME,S3,S1,LAP_TIME,S1_IMPROVEMENT,DRIVER_HOMETOWN,FL_TIME,S1_LARGE,DRIVER_LICENSE,S3_IMPROVEMENT,season_year,location,match_type,match_name
13389,0,,,16:21,,,123.6,,,,00:28.0,2,,,,,Amlin Aguri,0,,0,,,,17:34.2,,,Salvador Duran,00:30.1,,11,77,28.035,,,,,30.07,23.665,01:21.8,0,,,00:23.7,,0,2014-2015,Puntadel,Race,Race 
13390,0,,,16:22,,,122.7,,,,00:27.9,2,,,,,Amlin Aguri,0,,0,,,,18:56.6,,,Salvador Duran,00:30.7,,12,77,27.909,,,,,30.721,23.729,01:22.4,0,,,00:23.7,,0,2014-2015,Puntadel,Race,Race 
13391,0,,,16:23,,,123.5,,,,00:27.9,2,,,,,Amlin Aguri,0,,0,,,,20:18.4,,,Salvador Duran,00:30.3,,13,77,27.935,,,,,30.291,23.597,01:21.8,0,,,00:23.6,,0,2014-2015,Puntadel,Race,Race 
13392,0,,,16:25,,,123.7,,,,00:27.8,2,,,,,Amlin Aguri,0,,0,,,,21:40.1,,,Salvador Duran,00:30.2,,14,77,27.781,,,,,30.174,23.787,01:21.7,0,,,00:23.8,,0,2014-2015,Puntadel,Race,Race 
13393,0,,,16:26,,,122.9,,,,00:27.8,2,,,,,Amlin Aguri,0,,0,,,,23:02.3,,,Salvador Duran,00:30.7,,15,77,27.824,,,,,30.722,23.682,01:22.2,0,,,00:23.7,,0,2014-2015,Puntadel,Race,Race 
13394,0,,,16:28,,,108.9,,,,00:28.9,2,,B,,,Amlin Aguri,0,,0,,,,24:35.2,,,Salvador Duran,00:40.0,,16,77,28.871,,,,,40.01,23.987,01:32.9,0,,,00:24.0,,0,2014-2015,Puntadel,Race,Race 
13395,0,,,16:37,,,17.3,,,,00:28.2,2,,,08:25.5,,Amlin Aguri,0,,0,,,,34:19.7,,,Salvador Duran,00:30.8,,17,77,28.223,,,,,30.787,08:45.5,09:44.5,0,,,08:45.5,,0,2014-2015,Puntadel,Race,Race 
13396,0,,,16:39,,,124.8,,,,00:27.7,2,,,,,Amlin Aguri,2,,2,,,,35:40.7,,,Salvador Duran,00:29.6,,18,77,27.657,,,,,29.624,23.722,01:21.0,0,,,00:23.7,,2,2014-2015,Puntadel,Race,Race 
13397,0,,,16:40,,,124.5,,,,00:28.0,2,,,,,Amlin Aguri,0,,0,,,,37:01.9,,,Salvador Duran,00:29.7,,19,77,28.026,,,,,29.748,23.406,01:21.2,2,,,00:23.4,,0,2014-2015,Puntadel,Race,Race 
13398,0,,,16:42,,,122.8,,,,00:29.0,2,,,,,Amlin Aguri,0,,0,,,,38:24.2,,,Salvador Duran,00:29.9,,20,77,28.997,,,,,29.859,23.469,01:22.3,0,,,00:23.5,,0,2014-2015,Puntadel,Race,Race 
13399,0,,,16:43,,,124,,,,00:27.9,2,,,,,Amlin Aguri,0,,0,,,,39:45.7,,,Salvador Duran,00:29.9,,21,77,27.851,,,,,29.937,23.761,01:21.5,0,,,00:23.8,,0,2014-2015,Puntadel,Race,Race 
13400,0,,,16:44,,,123.7,,,,00:28.0,2,,,,,Amlin Aguri,0,,0,,,,41:07.5,,,Salvador Duran,00:30.1,,22,77,27.969,,,,,30.085,23.684,01:21.7,0,,,00:23.7,,0,2014-2015,Puntadel,Race,Race 
13401,0,,,16:46,,,101.4,,,,00:33.4,2,,,,,Amlin Aguri,0,,0,,,,42:47.1,,,Salvador Duran,00:42.7,,23,77,33.38,,,,,42.658,23.617,01:39.7,0,,,00:23.6,,0,2014-2015,Puntadel,Race,Race 
13402,0,,,16:48,,,90.7,,,,00:35.1,2,,,,,Amlin Aguri,0,,0,,,,44:38.7,,,Salvador Duran,00:47.1,,24,77,35.136,,,,,47.139,29.234,01:51.5,0,,,00:29.2,,0,2014-2015,Puntadel,Race,Race 
13403,0,,,16:50,,,82.3,,,,00:45.3,2,,,,,Amlin Aguri,0,,0,,,,46:41.4,,,Salvador Duran,00:32.2,,25,77,45.292,,,,,32.208,45.255,02:02.8,0,,,00:45.3,,0,2014-2015,Puntadel,Race,Race 
13404,0,,,16:51,,,121.9,,,,00:27.8,2,,,,,Amlin Aguri,0,,0,,,,48:04.4,,,Salvador Duran,00:31.6,,26,77,27.813,,,,,31.567,23.572,01:23.0,0,,,00:23.6,,0,2014-2015,Puntadel,Race,Race 
13405,0,,,16:53,,,121,,,,00:28.0,2,,,,,Amlin Aguri,0,,0,,,,49:27.9,,,Salvador Duran,00:31.8,,27,77,28.023,,,,,31.794,23.732,01:23.5,0,,,00:23.7,,0,2014-2015,Puntadel,Race,Race 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nans,220,,,220,,,6624,,,619->,,48118,,,66492,,1675,220,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
