ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,Unnamed: 21,file_loc,ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,Unnamed: 22,MANUFACTURER,Unnamed: 25
10.0,0.0,13.0,1:49.903,0.0,,38.877,0.0,35.636,0.0,35.390,0.0,113.1,31:50.753,08:46,0:38.877,0:35.636,0:35.390,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,14.0,8:30.748,0.0,B,38.629,0.0,36.708,0.0,7:15.411,0.0,24.3,40:21.501,08:55,0:38.629,0:36.708,7:15.411,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,15.0,2:10.580,0.0,,58.806,0.0,36.499,0.0,35.275,0.0,95.2,42:32.081,08:57,0:58.806,0:36.499,0:35.275,,Jarno Trulli,0:07:05.536,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,16.0,1:44.520,2.0,,36.944,2.0,33.483,2.0,34.093,2.0,118.9,44:16.601,08:59,0:36.944,0:33.483,0:34.093,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,17.0,2:40.450,0.0,,49.259,0.0,48.981,0.0,1:02.210,0.0,77.5,46:57.051,09:01,0:49.259,0:48.981,1:02.210,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,1.0,3:06.425,0.0,,1:37.540,0.0,43.830,0.0,45.055,0.0,66.7,3:06.425,08:18,1:37.540,0:43.830,0:45.055,,Lucas di Grassi,0:00:56.083,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,2.0,1:58.380,0.0,,42.221,0.0,38.253,0.0,37.906,0.0,105.0,5:04.805,08:20,0:42.221,0:38.253,0:37.906,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,3.0,1:50.570,0.0,,39.330,0.0,35.540,0.0,35.700,0.0,112.4,6:55.375,08:21,0:39.330,0:35.540,0:35.700,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,4.0,5:45.916,0.0,B,39.925,0.0,37.142,0.0,4:28.849,0.0,35.9,12:41.291,08:27,0:39.925,0:37.142,4:28.849,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,5.0,2:17.936,0.0,,1:02.361,0.0,38.078,0.0,37.497,0.0,90.1,14:59.227,08:29,1:02.361,0:38.078,0:37.497,,Lucas di Grassi,0:04:18.095,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,6.0,1:50.678,0.0,,38.845,0.0,36.062,0.0,35.771,0.0,112.3,16:49.905,08:31,0:38.845,0:36.062,0:35.771,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,7.0,1:50.787,0.0,,39.288,0.0,35.718,0.0,35.781,0.0,112.2,18:40.692,08:33,0:39.288,0:35.718,0:35.781,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,8.0,1:50.747,0.0,,38.842,0.0,36.172,0.0,35.733,0.0,112.2,20:31.439,08:35,0:38.842,0:36.172,0:35.733,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,9.0,1:49.119,0.0,,38.297,0.0,35.531,0.0,35.291,0.0,113.9,22:20.558,08:37,0:38.297,0:35.531,0:35.291,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,10.0,1:48.760,0.0,,38.127,0.0,35.570,0.0,35.063,0.0,114.3,24:09.318,08:39,0:38.127,0:35.570,0:35.063,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,11.0,1:48.438,0.0,,38.275,0.0,35.218,0.0,34.945,0.0,114.6,25:57.756,08:40,0:38.275,0:35.218,0:34.945,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,12.0,1:48.083,0.0,,38.006,0.0,35.222,0.0,34.855,0.0,115.0,27:45.839,08:42,0:38.006,0:35.222,0:34.855,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,13.0,1:47.925,0.0,,38.041,0.0,34.999,0.0,34.885,0.0,115.2,29:33.764,08:44,0:38.041,0:34.999,0:34.885,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,14.0,1:48.145,0.0,,38.155,0.0,35.163,0.0,34.827,0.0,114.9,31:21.909,08:46,0:38.155,0:35.163,0:34.827,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,15.0,1:49.588,0.0,,37.784,0.0,35.966,0.0,35.838,0.0,113.4,33:11.497,08:48,0:37.784,0:35.966,0:35.838,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,16.0,1:48.214,0.0,,37.908,0.0,35.337,0.0,34.969,0.0,114.9,34:59.711,08:49,0:37.908,0:35.337,0:34.969,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,17.0,6:02.334,0.0,B,38.219,0.0,35.182,0.0,4:48.933,0.0,34.3,41:02.045,08:56,0:38.219,0:35.182,4:48.933,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,18.0,2:25.884,0.0,,1:02.928,0.0,44.676,0.0,38.280,0.0,85.2,43:27.929,08:58,1:02.928,0:44.676,0:38.280,,Lucas di Grassi,0:04:40.016,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,19.0,1:41.937,3.0,,36.020,2.0,33.399,2.0,32.518,3.0,121.9,45:09.866,09:00,0:36.020,0:33.399,0:32.518,,Lucas di Grassi,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,1.0,3:22.378,0.0,,1:53.141,0.0,42.292,0.0,46.945,0.0,61.4,3:22.378,08:18,1:53.141,0:42.292,0:46.945,,Michela Cerruti,0:01:16.021,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,2.0,2:01.093,0.0,,42.106,0.0,39.511,0.0,39.476,0.0,102.7,5:23.471,08:20,0:42.106,0:39.511,0:39.476,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,3.0,1:56.630,0.0,,40.690,0.0,38.170,0.0,37.770,0.0,106.6,7:20.101,08:22,0:40.690,0:38.170,0:37.770,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,4.0,1:55.884,0.0,,41.188,0.0,37.994,0.0,36.702,0.0,107.3,9:15.985,08:24,0:41.188,0:37.994,0:36.702,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,5.0,1:53.727,0.0,,39.589,0.0,37.971,0.0,36.167,0.0,109.3,11:09.712,08:26,0:39.589,0:37.971,0:36.167,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,6.0,1:52.529,0.0,,39.413,0.0,37.194,0.0,35.922,0.0,110.5,13:02.241,08:28,0:39.413,0:37.194,0:35.922,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,7.0,1:52.636,0.0,,39.173,0.0,37.366,0.0,36.097,0.0,110.4,14:54.877,08:29,0:39.173,0:37.366,0:36.097,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,8.0,1:51.106,0.0,,39.258,0.0,36.545,0.0,35.303,0.0,111.9,16:45.983,08:31,0:39.258,0:36.545,0:35.303,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,9.0,7:43.455,0.0,B,46.457,0.0,42.614,0.0,6:14.384,0.0,26.8,24:29.438,08:39,0:46.457,0:42.614,6:14.384,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,10.0,2:17.502,0.0,,1:04.009,0.0,37.529,0.0,35.964,0.0,90.4,26:46.940,08:41,1:04.009,0:37.529,0:35.964,,Michela Cerruti,0:05:58.603,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,11.0,1:52.465,0.0,,39.707,0.0,37.149,0.0,35.609,0.0,110.5,28:39.405,08:43,0:39.707,0:37.149,0:35.609,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,12.0,1:51.005,0.0,,39.257,0.0,36.611,0.0,35.137,0.0,112.0,30:30.410,08:45,0:39.257,0:36.611,0:35.137,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,13.0,10:42.462,0.0,B,38.942,0.0,36.605,0.0,9:26.915,0.0,19.3,41:12.872,08:56,0:38.942,0:36.605,9:26.915,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,14.0,2:26.058,0.0,,1:02.261,0.0,43.517,0.0,40.280,0.0,85.1,43:38.930,08:58,1:02.261,0:43.517,0:40.280,,Michela Cerruti,0:08:48.888,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,15.0,1:46.778,2.0,,38.174,2.0,34.970,2.0,33.634,2.0,116.4,45:25.708,09:00,0:38.174,0:34.970,0:33.634,,Michela Cerruti,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,1.0,3:53.626,0.0,,2:05.523,0.0,57.510,0.0,50.593,0.0,53.2,3:53.626,08:18,2:05.523,0:57.510,0:50.593,,Sam Bird,0:01:17.586,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,2.0,2:10.044,0.0,,42.475,0.0,43.425,0.0,44.144,0.0,95.6,6:03.670,08:21,0:42.475,0:43.425,0:44.144,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,3.0,2:21.690,0.0,,38.381,0.0,52.188,0.0,51.121,0.0,87.7,8:25.360,08:23,0:38.381,0:52.188,0:51.121,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,4.0,1:46.794,0.0,,37.337,0.0,34.830,0.0,34.627,0.0,116.4,10:12.154,08:25,0:37.337,0:34.830,0:34.627,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,5.0,2:55.783,0.0,,1:00.534,0.0,1:02.024,0.0,53.225,0.0,70.7,13:07.937,08:28,1:00.534,1:02.024,0:53.225,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,6.0,2:20.667,0.0,,37.046,0.0,34.973,0.0,1:08.648,0.0,88.4,15:28.604,08:30,0:37.046,0:34.973,1:08.648,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,7.0,5:48.494,0.0,B,44.599,0.0,36.515,0.0,4:27.380,0.0,35.7,21:17.098,08:36,0:44.599,0:36.515,4:27.380,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,8.0,2:36.066,0.0,,1:04.183,0.0,46.021,0.0,45.862,0.0,79.7,23:53.164,08:38,1:04.183,0:46.021,0:45.862,,Sam Bird,0:04:14.511,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,9.0,1:43.649,0.0,,36.499,0.0,33.692,0.0,33.458,0.0,119.9,25:36.813,08:40,0:36.499,0:33.692,0:33.458,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,10.0,2:40.280,0.0,,56.280,0.0,59.223,0.0,44.777,0.0,77.6,28:17.093,08:43,0:56.280,0:59.223,0:44.777,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,11.0,1:42.902,2.0,,36.089,0.0,33.392,0.0,33.421,2.0,120.8,29:59.995,08:44,0:36.089,0:33.392,0:33.421,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,12.0,7:22.123,0.0,B,52.339,0.0,56.681,0.0,5:33.103,0.0,28.1,37:22.118,08:52,0:52.339,0:56.681,5:33.103,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,13.0,2:37.079,0.0,,1:06.409,0.0,45.644,0.0,45.026,0.0,79.1,39:59.197,08:54,1:06.409,0:45.644,0:45.026,,Sam Bird,0:05:13.709,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,14.0,1:43.788,0.0,,36.555,0.0,33.623,0.0,33.610,0.0,119.8,41:42.985,08:56,0:36.555,0:33.623,0:33.610,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,15.0,2:58.491,0.0,,1:01.435,0.0,1:06.430,0.0,50.626,0.0,69.6,44:41.476,08:59,1:01.435,1:06.430,0:50.626,,Sam Bird,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,1.0,3:56.248,0.0,,2:31.707,0.0,43.809,0.0,40.732,0.0,52.6,3:56.248,08:18,2:31.707,0:43.809,0:40.732,,Bruno Senna,0:01:48.312,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,2.0,1:56.263,0.0,,41.078,0.0,37.662,0.0,37.523,0.0,106.9,5:52.511,08:20,0:41.078,0:37.662,0:37.523,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,3.0,1:52.617,0.0,,39.722,0.0,36.124,0.0,36.771,0.0,110.4,7:45.128,08:22,0:39.722,0:36.124,0:36.771,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,4.0,1:49.195,0.0,,39.028,0.0,34.752,0.0,35.415,0.0,113.8,9:34.323,08:24,0:39.028,0:34.752,0:35.415,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,5.0,1:51.648,0.0,,39.678,0.0,35.953,0.0,36.017,0.0,111.3,11:25.971,08:26,0:39.678,0:35.953,0:36.017,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,6.0,1:52.722,0.0,,39.398,0.0,37.648,0.0,35.676,0.0,110.3,13:18.693,08:28,0:39.398,0:37.648,0:35.676,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,7.0,2:31.889,0.0,,51.046,0.0,53.431,0.0,47.412,0.0,81.8,15:50.582,08:30,0:51.046,0:53.431,0:47.412,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,8.0,1:46.100,0.0,,38.984,0.0,34.012,0.0,33.104,2.0,117.2,17:36.682,08:32,0:38.984,0:34.012,0:33.104,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,9.0,6:04.366,0.0,B,45.203,0.0,33.956,0.0,4:45.207,0.0,34.1,23:41.048,08:38,0:45.203,0:33.956,4:45.207,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,10.0,2:13.328,0.0,,1:01.865,0.0,36.331,0.0,35.132,0.0,93.2,25:54.376,08:40,1:01.865,0:36.331,0:35.132,,Bruno Senna,0:04:37.183,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,11.0,1:48.350,0.0,,37.758,0.0,34.882,0.0,35.710,0.0,114.7,27:42.726,08:42,0:37.758,0:34.882,0:35.710,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,12.0,1:48.079,0.0,,37.786,0.0,35.609,0.0,34.684,0.0,115.0,29:30.805,08:44,0:37.786,0:35.609,0:34.684,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,13.0,1:47.612,0.0,,37.641,0.0,35.101,0.0,34.870,0.0,115.5,31:18.417,08:46,0:37.641,0:35.101,0:34.870,,Bruno Senna,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
