ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,Unnamed: 25,file_loc,ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DIVISION,VEHICLE,TIRES,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,Unnamed: 22
11.0,0.0,3.0,2:09.196,0.0,,52.824,0.0,36.884,0.0,39.488,0.0,95.8,11:46.349,08:26,0:52.824,0:36.884,0:39.488,,Lucas DI GRASSI,0:05:06.602,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,4.0,1:45.226,0.0,,34.467,0.0,36.765,0.0,33.994,0.0,117.7,13:31.575,08:28,0:34.467,0:36.765,0:33.994,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,5.0,1:43.465,0.0,,33.798,0.0,36.036,0.0,33.631,0.0,119.7,15:15.040,08:30,0:33.798,0:36.036,0:33.631,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,6.0,1:42.904,0.0,,33.615,0.0,35.734,0.0,33.555,0.0,120.3,16:57.944,08:31,0:33.615,0:35.734,0:33.555,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,7.0,1:42.547,0.0,,33.530,0.0,35.717,0.0,33.300,0.0,120.7,18:40.491,08:33,0:33.530,0:35.717,0:33.300,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,8.0,1:42.358,0.0,,33.346,2.0,35.734,0.0,33.278,0.0,121.0,20:22.849,08:35,0:33.346,0:35.734,0:33.278,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,9.0,1:42.554,0.0,,33.449,0.0,35.517,2.0,33.588,0.0,120.7,22:05.403,08:37,0:33.449,0:35.517,0:33.588,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,10.0,1:42.199,2.0,,33.485,0.0,35.570,0.0,33.144,2.0,121.1,23:47.602,08:38,0:33.485,0:35.570,0:33.144,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,11.0,1:42.600,0.0,,33.352,0.0,35.969,0.0,33.279,0.0,120.7,25:30.202,08:40,0:33.352,0:35.969,0:33.279,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,12.0,9:54.165,0.0,B,33.949,0.0,44.913,0.0,8:35.303,0.0,20.8,35:24.367,08:50,0:33.949,0:44.913,8:35.303,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,13.0,2:35.586,0.0,,51.397,0.0,49.543,0.0,54.646,0.0,79.6,37:59.953,08:52,0:51.397,0:49.543,0:54.646,,Lucas DI GRASSI,0:08:09.856,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,14.0,5:55.705,0.0,B,47.472,0.0,59.586,0.0,4:08.647,0.0,34.8,43:55.658,08:58,0:47.472,0:59.586,4:08.647,,Lucas DI GRASSI,,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
11.0,0.0,15.0,1:57.625,0.0,,48.903,0.0,35.540,0.0,33.182,0.0,105.3,45:53.283,09:00,0:48.903,0:35.540,0:33.182,,Lucas DI GRASSI,0:03:20.660,,2.0,ABT Schaeffler Audi Sport,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,1.0,3:19.147,0.0,,1:55.018,0.0,44.741,0.0,39.388,0.0,62.2,3:19.147,08:18,1:55.018,0:44.741,0:39.388,,Jacques VILLENEUVE,0:01:18.653,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,2.0,2:00.681,0.0,,42.398,0.0,42.045,0.0,36.238,0.0,102.6,5:19.828,08:20,0:42.398,0:42.045,0:36.238,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,3.0,1:45.963,0.0,,34.648,0.0,36.795,0.0,34.520,0.0,116.8,7:05.791,08:22,0:34.648,0:36.795,0:34.520,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,4.0,7:19.625,0.0,B,34.132,0.0,36.458,0.0,6:09.035,0.0,28.2,14:25.416,08:29,0:34.132,0:36.458,6:09.035,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,5.0,6:04.599,0.0,B,51.734,0.0,48.094,0.0,4:24.771,0.0,34.0,20:30.015,08:35,0:51.734,0:48.094,4:24.771,,Jacques VILLENEUVE,0:05:44.625,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,6.0,2:36.263,0.0,,57.986,0.0,51.159,0.0,47.118,0.0,79.2,23:06.278,08:38,0:57.986,0:51.159,0:47.118,,Jacques VILLENEUVE,0:04:02.014,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,7.0,1:53.590,0.0,,37.957,0.0,37.989,0.0,37.644,0.0,109.0,24:59.868,08:39,0:37.957,0:37.989,0:37.644,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,8.0,6:34.122,0.0,B,35.594,0.0,40.361,0.0,5:18.167,0.0,31.4,31:33.990,08:46,0:35.594,0:40.361,5:18.167,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,9.0,2:06.403,0.0,,52.289,0.0,37.999,0.0,36.115,0.0,97.9,33:40.393,08:48,0:52.289,0:37.999,0:36.115,,Jacques VILLENEUVE,0:04:48.317,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,10.0,1:46.936,0.0,,35.333,0.0,36.780,0.0,34.823,0.0,115.8,35:27.329,08:50,0:35.333,0:36.780,0:34.823,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,11.0,1:46.320,0.0,,34.269,0.0,35.660,0.0,36.391,0.0,116.4,37:13.649,08:52,0:34.269,0:35.660,0:36.391,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,12.0,1:48.935,0.0,,34.253,0.0,37.841,0.0,36.841,0.0,113.6,39:02.584,08:54,0:34.253,0:37.841,0:36.841,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,13.0,1:43.854,0.0,,34.094,0.0,36.072,0.0,33.688,0.0,119.2,40:46.438,08:55,0:34.094,0:36.072,0:33.688,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,14.0,1:43.854,0.0,,33.978,0.0,36.075,0.0,33.801,0.0,119.2,42:30.292,08:57,0:33.978,0:36.075,0:33.801,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,15.0,1:43.248,0.0,,33.944,0.0,35.751,0.0,33.553,0.0,119.9,44:13.540,08:59,0:33.944,0:35.751,0:33.553,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
12.0,0.0,16.0,1:42.590,2.0,,33.472,2.0,35.610,2.0,33.508,2.0,120.7,45:56.130,09:00,0:33.472,0:35.610,0:33.508,,Jacques VILLENEUVE,,,3.0,Venturi Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,1.0,2:38.542,0.0,,1:21.825,0.0,40.869,0.0,35.848,0.0,78.1,2:38.542,08:17,1:21.825,0:40.869,0:35.848,,Sam BIRD,0:00:49.503,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,2.0,1:45.310,0.0,,34.914,0.0,36.388,0.0,34.008,0.0,117.6,4:23.852,08:19,0:34.914,0:36.388,0:34.008,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,3.0,1:42.466,0.0,,33.467,0.0,35.537,0.0,33.462,0.0,120.8,6:06.318,08:21,0:33.467,0:35.537,0:33.462,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,4.0,1:41.280,0.0,,32.984,0.0,35.092,0.0,33.204,0.0,122.2,7:47.598,08:22,0:32.984,0:35.092,0:33.204,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,5.0,1:41.371,0.0,,33.105,0.0,35.081,0.0,33.185,0.0,122.1,9:28.969,08:24,0:33.105,0:35.081,0:33.185,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,6.0,6:21.472,0.0,B,32.761,0.0,37.563,0.0,5:11.148,0.0,32.5,15:50.441,08:30,0:32.761,0:37.563,5:11.148,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,7.0,2:06.189,0.0,,51.872,0.0,39.798,0.0,34.519,0.0,98.1,17:56.630,08:32,0:51.872,0:39.798,0:34.519,,Sam BIRD,0:04:56.984,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,8.0,1:43.834,0.0,,33.589,0.0,35.742,0.0,34.503,0.0,119.2,19:40.464,08:34,0:33.589,0:35.742,0:34.503,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,9.0,1:38.594,2.0,,32.038,2.0,34.447,2.0,32.109,2.0,125.6,21:19.058,08:36,0:32.038,0:34.447,0:32.109,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,10.0,10:10.239,0.0,B,34.721,0.0,38.074,0.0,8:57.444,0.0,20.3,31:29.297,08:46,0:34.721,0:38.074,8:57.444,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,11.0,2:08.988,0.0,,52.083,0.0,38.368,0.0,38.537,0.0,96.0,33:38.285,08:48,0:52.083,0:38.368,0:38.537,,Sam BIRD,0:08:48.360,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,12.0,1:55.945,0.0,,39.550,0.0,40.189,0.0,36.206,0.0,106.8,35:34.230,08:50,0:39.550,0:40.189,0:36.206,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,13.0,1:47.303,0.0,,34.867,0.0,38.065,0.0,34.371,0.0,115.4,37:21.533,08:52,0:34.867,0:38.065,0:34.371,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,14.0,1:45.062,0.0,,34.263,0.0,36.673,0.0,34.126,0.0,117.8,39:06.595,08:54,0:34.263,0:36.673,0:34.126,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,15.0,1:44.512,0.0,,34.217,0.0,36.196,0.0,34.099,0.0,118.5,40:51.107,08:55,0:34.217,0:36.196,0:34.099,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
2.0,0.0,16.0,1:44.561,0.0,,34.219,0.0,36.407,0.0,33.935,0.0,118.4,42:35.668,08:57,0:34.219,0:36.407,0:33.935,,Sam BIRD,,,4.0,DS Virgin Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,1.0,2:56.842,0.0,,1:41.384,0.0,39.405,0.0,36.053,0.0,70.0,2:56.842,08:17,1:41.384,0:39.405,0:36.053,,Bruno SENNA,0:01:09.306,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,2.0,1:47.829,0.0,,35.044,0.0,37.746,0.0,35.039,0.0,114.8,4:44.671,08:19,0:35.044,0:37.746,0:35.039,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,3.0,1:45.968,0.0,,34.704,0.0,36.660,0.0,34.604,0.0,116.8,6:30.639,08:21,0:34.704,0:36.660,0:34.604,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,4.0,2:09.276,0.0,,58.225,0.0,37.024,0.0,34.027,0.0,95.8,8:39.915,08:23,0:58.225,0:37.024,0:34.027,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,5.0,1:46.941,0.0,,34.109,0.0,38.537,0.0,34.295,0.0,115.8,10:26.856,08:25,0:34.109,0:38.537,0:34.295,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,6.0,1:45.601,0.0,,34.028,0.0,37.221,0.0,34.352,0.0,117.2,12:12.457,08:27,0:34.028,0:37.221,0:34.352,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,7.0,1:44.749,0.0,,33.980,0.0,36.705,0.0,34.064,0.0,118.2,13:57.206,08:28,0:33.980,0:36.705,0:34.064,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,8.0,1:44.264,0.0,,34.004,0.0,36.412,0.0,33.848,0.0,118.7,15:41.470,08:30,0:34.004,0:36.412,0:33.848,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,9.0,1:44.363,0.0,,33.917,0.0,36.469,0.0,33.977,0.0,118.6,17:25.833,08:32,0:33.917,0:36.469,0:33.977,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,10.0,1:43.799,0.0,,33.770,0.0,36.191,0.0,33.838,0.0,119.3,19:09.632,08:34,0:33.770,0:36.191,0:33.838,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,11.0,1:43.444,0.0,,33.825,0.0,36.035,0.0,33.584,0.0,119.7,20:53.076,08:35,0:33.825,0:36.035,0:33.584,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,12.0,10:37.439,0.0,B,33.667,0.0,35.708,0.0,9:28.064,0.0,19.4,31:30.515,08:46,0:33.667,0:35.708,9:28.064,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,13.0,2:06.888,0.0,,52.231,0.0,36.566,0.0,38.091,0.0,97.6,33:37.403,08:48,0:52.231,0:36.566,0:38.091,,Bruno SENNA,0:09:18.846,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,14.0,1:43.545,0.0,,33.869,0.0,35.947,0.0,33.729,0.0,119.6,35:20.948,08:50,0:33.869,0:35.947,0:33.729,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,15.0,1:41.881,0.0,,33.126,0.0,35.449,0.0,33.306,0.0,121.5,37:02.829,08:52,0:33.126,0:35.449,0:33.306,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,16.0,1:41.212,2.0,,32.824,2.0,35.200,2.0,33.188,2.0,122.3,38:44.041,08:53,0:32.824,0:35.200,0:33.188,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,17.0,1:45.980,0.0,,33.028,0.0,35.246,0.0,37.706,0.0,116.8,40:30.021,08:55,0:33.028,0:35.246,0:37.706,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
21.0,0.0,18.0,2:11.909,0.0,,43.037,0.0,44.101,0.0,44.771,0.0,93.9,42:41.930,08:57,0:43.037,0:44.101,0:44.771,,Bruno SENNA,,,2.0,Mahindra Racing Formula E Team,,,./sampledata/2015-2016\Beijing\FP1\23_Analysis_Non Qualifying Practice 1.CSV,,,,,,,,,,,,,,,,,,,,
