ï»¿POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH,LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,ECM ForixTeamId,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_ECM ForixDriverId,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 35,file_loc,ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,MANUFACTURER,Unnamed: 25,ï»¿TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,Unnamed: 8,ï»¿POSITION,STATUS,LAPS,TOTAL_TIME,FL_LAPNUM,FL_TIME,FL_KPH,Unnamed: 37,POWER,Unnamed: 26
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,14.0,1:45.383,0.0,B,34.299,0.0,26.089000000000002,0.0,44.995,0.0,85.2,36:37.313,10:51:37.313,0:34.299,0:26.089,0:44.995,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,1.0,2:37.858,0.0,,1:22.527,0.0,32.768,0.0,42.563,0.0,13.6,2:37.858,10:17:37.858,1:22.527,0:32.768,0:42.563,,Oliver TURVEY,0:00:50.429,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,2.0,1:43.862,0.0,,31.660,0.0,29.552,0.0,42.650,0.0,86.4,4:21.720,10:19:21.720,0:31.660,0:29.552,0:42.650,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,3.0,1:57.106,0.0,,29.808,0.0,27.225,0.0,1:00.073,0.0,76.7,6:18.826,10:21:18.826,0:29.808,0:27.225,1:00.073,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,4.0,1:27.387,0.0,,27.813,0.0,24.514,0.0,35.060,0.0,102.7,7:46.213,10:22:46.213,0:27.813,0:24.514,0:35.060,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,5.0,1:43.665,0.0,B,27.256,0.0,24.284000000000002,0.0,52.125,0.0,86.6,9:29.878,10:24:29.878,0:27.256,0:24.284,0:52.125,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,6.0,17:51.747,0.0,,16:41.810,0.0,27.487,0.0,42.450,0.0,8.4,27:21.625,10:42:21.625,16:41.810,0:27.487,0:42.450,,Oliver TURVEY,0:16:25.420,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,7.0,1:25.120,0.0,,27.389,0.0,23.791999999999998,0.0,33.939,0.0,105.5,28:46.745,10:43:46.745,0:27.389,0:23.792,0:33.939,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,8.0,1:23.437,0.0,,26.633,0.0,23.296999999999997,0.0,33.507,0.0,107.6,30:10.182,10:45:10.182,0:26.633,0:23.297,0:33.507,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,9.0,1:29.085,0.0,,26.492,0.0,23.541,0.0,39.052,0.0,100.8,31:39.267,10:46:39.267,0:26.492,0:23.541,0:39.052,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,10.0,1:21.477,0.0,,26.208,0.0,22.838,0.0,32.431,0.0,110.2,33:00.744,10:48:00.744,0:26.208,0:22.838,0:32.431,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,11.0,1:24.131,0.0,,25.993,2.0,22.783,0.0,35.355,0.0,106.7,34:24.875,10:49:24.875,0:25.993,0:22.783,0:35.355,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIO Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,16.0,1.0,12.0,1:20.527,2.0,,26.152,0.0,22.476,2.0,31.899,2.0,111.5,35:45.402,10:50:45.402,0:26.152,0:22.476,0:31.899,,Oliver TURVEY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HWA RACELAB,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,17.0,1.0,1.0,2:29.299,0.0,,1:13.427,0.0,32.619,0.0,43.253,0.0,14.3,2:29.299,10:17:29.299,1:13.427,0:32.619,0:43.253,,Gary PAFFETT,0:00:44.956,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HWA RACELAB,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,17.0,1.0,2.0,2:06.555,0.0,,34.926,0.0,30.94,0.0,1:00.689,0.0,70.9,4:35.854,10:19:35.854,0:34.926,0:30.940,1:00.689,,Gary PAFFETT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HWA RACELAB,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,17.0,1.0,3.0,2:03.659,0.0,,30.832,0.0,29.705,0.0,1:03.122,0.0,72.6,6:39.513,10:21:39.513,0:30.832,0:29.705,1:03.122,,Gary PAFFETT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HWA RACELAB,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,17.0,1.0,4.0,1:31.726,0.0,,29.487,0.0,26.156999999999996,0.0,36.082,0.0,97.9,8:11.239,10:23:11.239,0:29.487,0:26.157,0:36.082,,Gary PAFFETT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HWA RACELAB,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,17.0,1.0,5.0,2:20.426,0.0,B,27.617,0.0,37.26,0.0,1:15.549,0.0,63.9,10:31.665,10:25:31.665,0:27.617,0:37.260,1:15.549,,Gary PAFFETT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HWA RACELAB,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,17.0,1.0,6.0,16:56.746,0.0,,15:46.153,0.0,26.226999999999997,0.0,44.366,0.0,8.8,27:28.411,10:42:28.411,15:46.153,0:26.227,0:44.366,,Gary PAFFETT,0:15:30.809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HWA RACELAB,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,17.0,1.0,7.0,1:35.384,0.0,B,27.745,0.0,24.691999999999997,0.0,42.947,0.0,94.1,29:03.795,10:44:03.795,0:27.745,0:24.692,0:42.947,,Gary PAFFETT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HWA RACELAB,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,17.0,1.0,8.0,4:34.539,0.0,,3:34.273,0.0,24.449,0.0,35.817,0.0,32.7,33:38.334,10:48:38.334,3:34.273,0:24.449,0:35.817,,Gary PAFFETT,0:03:20.989,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HWA RACELAB,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,17.0,1.0,9.0,1:24.257,2.0,,26.711,2.0,23.75,2.0,33.796,2.0,106.6,35:02.591,10:50:02.591,0:26.711,0:23.750,0:33.796,,Gary PAFFETT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,1.0,2:43.688,0.0,,1:26.995,0.0,34.525999999999996,0.0,42.167,0.0,13.1,2:43.688,10:17:43.688,1:26.995,0:34.526,0:42.167,,Felipe MASSA,0:00:57.228,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,2.0,1:41.862,0.0,,29.972,0.0,28.898000000000003,0.0,42.992,0.0,88.1,4:25.550,10:19:25.550,0:29.972,0:28.898,0:42.992,,Felipe MASSA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,3.0,2:03.779,0.0,,31.708,0.0,28.546999999999997,0.0,1:03.524,0.0,72.5,6:29.329,10:21:29.329,0:31.708,0:28.547,1:03.524,,Felipe MASSA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,4.0,1:26.412,0.0,,27.383,0.0,24.279,0.0,34.750,0.0,103.9,7:55.741,10:22:55.741,0:27.383,0:24.279,0:34.750,,Felipe MASSA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,5.0,1:56.164,0.0,B,27.758,0.0,24.56,0.0,1:03.846,0.0,77.3,9:51.905,10:24:51.905,0:27.758,0:24.560,1:03.846,,Felipe MASSA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,6.0,20:15.081,0.0,,19:07.332,0.0,30.204,0.0,37.545,0.0,7.4,30:06.986,10:45:06.986,19:07.332,0:30.204,0:37.545,,Felipe MASSA,0:18:50.169,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,7.0,1:24.852,0.0,,27.405,0.0,24.151999999999997,0.0,33.295,0.0,105.8,31:31.838,10:46:31.838,0:27.405,0:24.152,0:33.295,,Felipe MASSA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,8.0,1:24.096,0.0,,27.266,0.0,23.659000000000002,0.0,33.171,0.0,106.8,32:55.934,10:47:55.934,0:27.266,0:23.659,0:33.171,,Felipe MASSA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,9.0,1:22.479,2.0,,26.248,2.0,23.252,2.0,32.979,2.0,108.9,34:18.413,10:49:18.413,0:26.248,0:23.252,0:32.979,,Felipe MASSA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venturi Formula E Team,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,19.0,1.0,10.0,1:50.253,0.0,,46.546,0.0,25.066,0.0,38.641,0.0,81.4,36:08.666,10:51:08.666,0:46.546,0:25.066,0:38.641,,Felipe MASSA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,1.0,2:08.738,0.0,,45.858,0.0,35.683,0.0,47.197,0.0,16.6,2:08.738,10:17:08.738,0:45.858,0:35.683,0:47.197,,Sam BIRD,0:00:14.366,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,2.0,1:45.577,0.0,,33.016,0.0,31.164,0.0,41.397,0.0,85.0,3:54.315,10:18:54.315,0:33.016,0:31.164,0:41.397,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,3.0,1:45.739,0.0,,31.392,0.0,30.224,0.0,44.123,0.0,84.9,5:40.054,10:20:40.054,0:31.392,0:30.224,0:44.123,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,4.0,1:26.202,0.0,,28.069,0.0,24.546999999999997,0.0,33.586,0.0,104.2,7:06.256,10:22:06.256,0:28.069,0:24.547,0:33.586,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,5.0,1:23.445,0.0,,26.950,0.0,23.566,0.0,32.929,0.0,107.6,8:29.701,10:23:29.701,0:26.950,0:23.566,0:32.929,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,6.0,2:50.611,0.0,B,41.257,0.0,48.897,0.0,1:20.457,0.0,52.6,11:20.312,10:26:20.312,0:41.257,0:48.897,1:20.457,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,7.0,15:22.488,0.0,,14:18.863,0.0,25.643,0.0,37.982,0.0,9.7,26:42.800,10:41:42.800,14:18.863,0:25.643,0:37.982,,Sam BIRD,0:14:06.485,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,8.0,1:22.470,0.0,,26.828,0.0,23.112,0.0,32.530,0.0,108.9,28:05.270,10:43:05.270,0:26.828,0:23.112,0:32.530,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,9.0,1:28.042,0.0,,28.565,0.0,24.45,0.0,35.027,0.0,102.0,29:33.312,10:44:33.312,0:28.565,0:24.450,0:35.027,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,10.0,1:19.900,0.0,,25.738,0.0,22.601999999999997,0.0,31.560,0.0,112.4,30:53.212,10:45:53.212,0:25.738,0:22.602,0:31.560,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,11.0,1:24.552,0.0,,27.399,0.0,23.92,0.0,33.233,0.0,106.2,32:17.764,10:47:17.764,0:27.399,0:23.920,0:33.233,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,12.0,1:19.045,2.0,,25.387,2.0,22.221,2.0,31.437,2.0,113.6,33:36.809,10:48:36.809,0:25.387,0:22.221,0:31.437,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,13.0,1:22.431,0.0,,26.128,0.0,23.316999999999997,0.0,32.986,0.0,108.9,34:59.240,10:49:59.240,0:26.128,0:23.317,0:32.986,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Envision Virgin Racing,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,2.0,1.0,14.0,1:33.536,0.0,,30.189,0.0,26.081,0.0,37.266,0.0,96.0,36:32.776,10:51:32.776,0:30.189,0:26.081,0:37.266,,Sam BIRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Panasonic Jaguar Racing,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,20.0,1.0,1.0,2:15.743,0.0,,51.793,0.0,37.944,0.0,46.006,0.0,15.8,2:15.743,10:17:15.743,0:51.793,0:37.944,0:46.006,,Mitch EVANS,0:00:20.827,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Panasonic Jaguar Racing,,B,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,20.0,1.0,2.0,1:44.799,0.0,,34.817,0.0,29.355,0.0,40.627,0.0,85.7,4:00.542,10:19:00.542,0:34.817,0:29.355,0:40.627,,Mitch EVANS,,,,,,,,,,,,,,,,,,,,,,
