ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,Unnamed: 22,file_loc,ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,MANUFACTURER,Unnamed: 25
13.0,21.0,Classified,26.0,51:59.668,+1:50.833,+19.793,20.0,1:42.217,121.1,Mahindra Racing Formula E Team,,2.0,,Mahindra M2ELECTRO,,Bruno,SENNA,,,BRA,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
14.0,12.0,Classified,25.0,50:17.307,1 Lap,1 Lap,24.0,1:42.521,120.8,Venturi Formula E Team,,3.0,,Venturi VM200-FE-01,,Jacques,VILLENEUVE,,,CAN,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
15.0,1.0,Classified,24.0,48:52.632,2 Laps,1 Lap,20.0,1:41.500,122.0,NEXTEV TCR Formula E Team,,1.0,,NEXTEV TCR FormulaE 001,,Nelson,PIQUET JR,,,BRA,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
,8.0,Not classified,22.0,43:28.289,,,7.0,1:41.082,122.5,Renault e.Dams,,2.0,,Renault Z.E 15,,Nicolas,PROST,,,FRA,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
,55.0,Not classified,13.0,26:52.142,,,9.0,1:42.672,120.6,Team Aguri,,1.0,,SRT01-e,,Antonio Felix,DA COSTA,,,PRT,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
,28.0,Not classified,2.0,3:45.313,,,2.0,1:46.289,116.5,Andretti Formula E Race Team,,1.0,,SRT01-e,,Simona,DE SILVESTRO,,,CHE,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,1.0,2:03.700,0.0,,48.757,0.0,40.157,0.0,34.786,0.0,100.1,2:03.700,16:05,0:48.757,0:40.157,0:34.786,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,2.0,1:47.050,0.0,,35.156,0.0,37.312,0.0,34.582,0.0,115.7,3:50.750,16:07,0:35.156,0:37.312,0:34.582,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,3.0,1:52.485,0.0,,34.674,0.0,36.624,0.0,41.187,0.0,110.1,5:43.235,16:09,0:34.674,0:36.624,0:41.187,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,4.0,4:11.448,0.0,,1:25.239,0.0,1:23.396,0.0,1:22.813,0.0,49.2,9:54.683,16:13,1:25.239,1:23.396,1:22.813,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,5.0,1:57.129,0.0,,47.033,0.0,36.273,0.0,33.823,0.0,105.7,11:51.812,16:15,0:47.033,0:36.273,0:33.823,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,6.0,1:45.021,0.0,,34.321,0.0,35.928,0.0,34.772,0.0,117.9,13:36.833,16:17,0:34.321,0:35.928,0:34.772,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,7.0,1:45.451,0.0,,34.649,0.0,36.203,0.0,34.599,0.0,117.4,15:22.284,16:19,0:34.649,0:36.203,0:34.599,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,8.0,1:45.495,0.0,,35.090,0.0,35.858,0.0,34.547,0.0,117.4,17:07.779,16:21,0:35.090,0:35.858,0:34.547,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,9.0,1:49.011,0.0,,35.479,0.0,39.129,0.0,34.403,0.0,113.6,18:56.790,16:22,0:35.479,0:39.129,0:34.403,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,10.0,1:42.964,0.0,,33.700,0.0,35.478,0.0,33.786,0.0,120.2,20:39.754,16:24,0:33.700,0:35.478,0:33.786,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,11.0,1:44.403,0.0,,33.940,0.0,35.785,0.0,34.678,0.0,118.6,22:24.157,16:26,0:33.940,0:35.785,0:34.678,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,12.0,1:45.712,0.0,,34.536,0.0,36.636,0.0,34.540,0.0,117.1,24:09.869,16:28,0:34.536,0:36.636,0:34.540,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,13.0,1:45.673,0.0,,34.737,0.0,36.240,0.0,34.696,0.0,117.2,25:55.542,16:29,0:34.737,0:36.240,0:34.696,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,14.0,2:53.178,0.0,B,34.935,0.0,36.697,0.0,1:41.546,0.0,71.5,28:48.720,16:32,0:34.935,0:36.697,1:41.546,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,15.0,3:12.126,0.0,,1:26.540,0.0,1:08.041,0.0,37.545,0.0,64.4,32:00.846,16:35,1:26.540,1:08.041,0:37.545,,Nelson PIQUET JR,0:01:31.482,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,16.0,2:46.138,0.0,,41.436,0.0,1:30.670,0.0,34.032,0.0,74.5,34:46.984,16:38,0:41.436,1:30.670,0:34.032,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,17.0,1:41.691,0.0,,33.317,0.0,35.268,2.0,33.106,0.0,121.7,36:28.675,16:40,0:33.317,0:35.268,0:33.106,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,18.0,1:47.026,0.0,,33.096,0.0,40.759,0.0,33.171,0.0,115.7,38:15.701,16:42,0:33.096,0:40.759,0:33.171,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,19.0,1:43.962,0.0,,33.192,0.0,37.091,0.0,33.679,0.0,119.1,39:59.663,16:43,0:33.192,0:37.091,0:33.679,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,20.0,1:41.500,2.0,,33.077,2.0,35.324,0.0,33.099,2.0,122.0,41:41.163,16:45,0:33.077,0:35.324,0:33.099,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,21.0,1:43.285,0.0,,33.925,0.0,35.850,0.0,33.510,0.0,119.9,43:24.448,16:47,0:33.925,0:35.850,0:33.510,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,22.0,1:49.559,0.0,,33.840,0.0,40.703,0.0,35.016,0.0,113.0,45:14.007,16:49,0:33.840,0:40.703,0:35.016,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,23.0,1:51.945,0.0,,37.784,0.0,38.609,0.0,35.552,0.0,110.6,47:05.952,16:50,0:37.784,0:38.609,0:35.552,,Nelson PIQUET JR,,,
,,,,,,,,,,NEXTEV TCR Formula E Team,,1.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,1.0,0.0,24.0,1:46.680,0.0,,35.449,0.0,37.075,0.0,34.156,0.0,116.1,48:52.632,16:52,0:35.449,0:37.075,0:34.156,,Nelson PIQUET JR,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,1.0,1:52.899,0.0,,41.621,0.0,37.014,0.0,34.264,0.0,109.7,1:52.899,16:05,0:41.621,0:37.014,0:34.264,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,2.0,1:44.151,0.0,,34.379,0.0,36.252,0.0,33.520,0.0,118.9,3:37.050,16:07,0:34.379,0:36.252,0:33.520,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,3.0,1:42.858,0.0,,33.667,0.0,35.833,0.0,33.358,0.0,120.4,5:19.908,16:09,0:33.667,0:35.833,0:33.358,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,4.0,3:45.727,0.0,,1:00.837,0.0,1:22.849,0.0,1:22.041,0.0,54.8,9:05.635,16:12,1:00.837,1:22.849,1:22.041,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,5.0,2:25.436,0.0,,1:16.309,0.0,35.544,0.0,33.583,0.0,85.1,11:31.071,16:15,1:16.309,0:35.544,0:33.583,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,6.0,1:43.252,0.0,,33.519,0.0,35.972,0.0,33.761,0.0,119.9,13:14.323,16:17,0:33.519,0:35.972,0:33.761,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,7.0,1:43.030,0.0,,33.636,0.0,35.752,0.0,33.642,0.0,120.2,14:57.353,16:18,0:33.636,0:35.752,0:33.642,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,8.0,1:42.313,0.0,,33.288,0.0,35.562,0.0,33.463,0.0,121.0,16:39.666,16:20,0:33.288,0:35.562,0:33.463,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,9.0,1:42.038,0.0,,33.223,2.0,35.406,0.0,33.409,0.0,121.3,18:21.704,16:22,0:33.223,0:35.406,0:33.409,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,10.0,1:42.021,0.0,,33.350,0.0,35.406,0.0,33.265,0.0,121.4,20:03.725,16:23,0:33.350,0:35.406,0:33.265,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,11.0,1:41.831,0.0,,33.285,0.0,35.521,0.0,33.025,2.0,121.6,21:45.556,16:25,0:33.285,0:35.521,0:33.025,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,12.0,1:42.219,0.0,,33.333,0.0,35.533,0.0,33.353,0.0,121.1,23:27.775,16:27,0:33.333,0:35.533,0:33.353,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,13.0,2:41.209,0.0,B,33.365,0.0,35.284,0.0,1:32.560,0.0,76.8,26:08.984,16:30,0:33.365,0:35.284,1:32.560,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,14.0,2:01.208,0.0,,50.153,0.0,36.359,0.0,34.696,0.0,102.1,28:10.192,16:32,0:50.153,0:36.359,0:34.696,,Lucas DI GRASSI,0:01:21.893,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,15.0,3:22.806,0.0,,1:09.984,0.0,1:21.108,0.0,51.714,0.0,61.0,31:32.998,16:35,1:09.984,1:21.108,0:51.714,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,16.0,1:42.898,0.0,,34.075,0.0,35.457,0.0,33.366,0.0,120.3,33:15.896,16:37,0:34.075,0:35.457,0:33.366,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,17.0,1:42.272,0.0,,33.558,0.0,35.268,0.0,33.446,0.0,121.1,34:58.168,16:38,0:33.558,0:35.268,0:33.446,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,18.0,1:41.788,0.0,,33.235,0.0,35.391,0.0,33.162,0.0,121.6,36:39.956,16:40,0:33.235,0:35.391,0:33.162,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,19.0,1:41.904,0.0,,33.301,0.0,35.297,0.0,33.306,0.0,121.5,38:21.860,16:42,0:33.301,0:35.297,0:33.306,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,20.0,1:42.099,0.0,,33.389,0.0,35.406,0.0,33.304,0.0,121.3,40:03.959,16:43,0:33.389,0:35.406,0:33.304,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,21.0,1:41.721,2.0,,33.298,0.0,35.263,2.0,33.160,0.0,121.7,41:45.680,16:45,0:33.298,0:35.263,0:33.160,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,22.0,1:41.980,0.0,,33.333,0.0,35.443,0.0,33.204,0.0,121.4,43:27.660,16:47,0:33.333,0:35.443,0:33.204,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,23.0,1:42.335,0.0,,33.315,0.0,35.694,0.0,33.326,0.0,121.0,45:09.995,16:49,0:33.315,0:35.694,0:33.326,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,24.0,1:43.040,0.0,,33.577,0.0,35.456,0.0,34.007,0.0,120.2,46:53.035,16:50,0:33.577,0:35.456,0:34.007,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,25.0,1:43.134,0.0,,33.883,0.0,35.607,0.0,33.644,0.0,120.0,48:36.169,16:52,0:33.883,0:35.607,0:33.644,,Lucas DI GRASSI,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,2.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,11.0,0.0,26.0,1:43.672,0.0,,34.200,0.0,35.819,0.0,33.653,0.0,119.4,50:19.841,16:54,0:34.200,0:35.819,0:33.653,,Lucas DI GRASSI,,,
,,,,,,,,,,Venturi Formula E Team,,3.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,12.0,0.0,1.0,1:57.836,0.0,,44.584,0.0,38.838,0.0,34.414,0.0,105.1,1:57.836,16:05,0:44.584,0:38.838,0:34.414,,Jacques VILLENEUVE,,,
,,,,,,,,,,Venturi Formula E Team,,3.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,12.0,0.0,2.0,1:45.205,0.0,,34.879,0.0,36.459,0.0,33.867,0.0,117.7,3:43.041,16:07,0:34.879,0:36.459,0:33.867,,Jacques VILLENEUVE,,,
,,,,,,,,,,Venturi Formula E Team,,3.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,12.0,0.0,3.0,1:45.073,0.0,,34.405,0.0,36.069,0.0,34.599,0.0,117.8,5:28.114,16:09,0:34.405,0:36.069,0:34.599,,Jacques VILLENEUVE,,,
,,,,,,,,,,Venturi Formula E Team,,3.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,12.0,0.0,4.0,4:00.180,0.0,,1:15.702,0.0,1:22.711,0.0,1:21.767,0.0,51.5,9:28.294,16:13,1:15.702,1:22.711,1:21.767,,Jacques VILLENEUVE,,,
,,,,,,,,,,Venturi Formula E Team,,3.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,12.0,0.0,5.0,2:17.302,0.0,,1:04.855,0.0,37.931,0.0,34.516,0.0,90.2,11:45.596,16:15,1:04.855,0:37.931,0:34.516,,Jacques VILLENEUVE,,,
,,,,,,,,,,Venturi Formula E Team,,3.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,12.0,0.0,6.0,1:44.092,0.0,,34.162,0.0,36.148,0.0,33.782,0.0,118.9,13:29.688,16:17,0:34.162,0:36.148,0:33.782,,Jacques VILLENEUVE,,,
,,,,,,,,,,Venturi Formula E Team,,3.0,,,,,,,,,,,./Total_Lap_Num/2015-2016\Beijing\Race\23_Analysis_Race (12).CSV,12.0,0.0,7.0,1:43.179,0.0,,34.002,0.0,35.643,0.0,33.534,0.0,120.0,15:12.867,16:19,0:34.002,0:35.643,0:33.534,,Jacques VILLENEUVE,,,
