ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,Unnamed: 25,file_loc,ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,ECM ForixTeamId,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_ECM ForixDriverId,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37,POWER,Unnamed: 26
25.0,1.0,2.0,1:19.082,0.0,,25.373,0.0,22.396,0.0,31.313,2.0,113.5,13:41.047,11:38:41.047,0:25.373,0:22.396,0:31.313,,Jean-Eric VERGNE,,,A,DS TECHEETAH,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,1.0,3.0,1:18.571,2.0,,25.187,2.0,21.941999999999997,2.0,31.442,0.0,114.3,14:59.618,11:39:59.618,0:25.187,0:21.942,0:31.442,,Jean-Eric VERGNE,,,A,DS TECHEETAH,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,1.0,12:39.295,0.0,,11:34.579,0.0,26.789,0.0,37.927,0.0,2.8,12:39.295,11:37:39.295,11:34.579,0:26.789,0:37.927,,Antonio Felix DA COSTA,0:11:10.449,,A,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,2.0,1:23.604,0.0,,25.622,0.0,25.011999999999997,0.0,32.970,0.0,107.4,14:02.899,11:39:02.899,0:25.622,0:25.012,0:32.970,,Antonio Felix DA COSTA,,,A,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,3.0,1:17.728,4.0,,25.057,2.0,21.866999999999997,2.0,30.804,4.0,115.5,15:20.627,11:40:20.627,0:25.057,0:21.867,0:30.804,,Antonio Felix DA COSTA,,,A,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.0,1.0,12:44.188,0.0,,11:44.898,0.0,25.288,0.0,34.002,0.0,2.8,12:44.188,11:37:44.188,11:44.898,0:25.288,0:34.002,,Robin FRIJNS,0:11:21.153,,A,Envision Virgin Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.0,2.0,1:31.566,0.0,,26.325,0.0,24.307,0.0,40.934,0.0,98.1,14:15.754,11:39:15.754,0:26.325,0:24.307,0:40.934,,Robin FRIJNS,,,A,Envision Virgin Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.0,3.0,1:19.036,2.0,,25.295,2.0,22.504,2.0,31.237,2.0,113.6,15:34.790,11:40:34.790,0:25.295,0:22.504,0:31.237,,Robin FRIJNS,,,A,Envision Virgin Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,1.0,1.0,13:09.533,0.0,,12:08.050,0.0,25.881999999999998,0.0,35.601,0.0,2.7,13:09.533,11:38:09.533,12:08.050,0:25.882,0:35.601,,Edoardo MORTARA,0:11:44.646,,A,Venturi Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,1.0,2.0,1:23.383,0.0,,27.212,0.0,23.52,0.0,32.651,0.0,107.7,14:32.916,11:39:32.916,0:27.212,0:23.520,0:32.651,,Edoardo MORTARA,,,A,Venturi Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,1.0,3.0,1:20.330,2.0,,25.998,2.0,22.828000000000003,2.0,31.504,2.0,111.8,15:53.246,11:40:53.246,0:25.998,0:22.828,0:31.504,,Edoardo MORTARA,,,A,Venturi Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,1.0,1.0,12:23.229,0.0,,11:24.623,0.0,25.099,0.0,33.507,0.0,2.9,12:23.229,11:37:23.229,11:24.623,0:25.099,0:33.507,,JÃ©rÃ´me D'AMBROSIO,0:11:01.965,,A,MAHINDRA RACING,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,1.0,2.0,1:22.543,0.0,,26.527,0.0,23.239,0.0,32.777,0.0,108.8,13:45.772,11:38:45.772,0:26.527,0:23.239,0:32.777,,JÃ©rÃ´me D'AMBROSIO,,,A,MAHINDRA RACING,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,1.0,3.0,1:19.077,2.0,,25.490,2.0,22.165,2.0,31.422,2.0,113.5,15:04.849,11:40:04.849,0:25.490,0:22.165,0:31.422,,JÃ©rÃ´me D'AMBROSIO,,,A,MAHINDRA RACING,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,1.0,1.0,12:35.336,0.0,,11:30.080,0.0,26.787,0.0,38.469,0.0,2.8,12:35.336,11:37:35.336,11:30.080,0:26.787,0:38.469,,Daniel ABT,0:11:07.177,,A,Audi Sport Abt Schaeffler Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,1.0,2.0,1:21.796,0.0,,26.848,0.0,23.3,0.0,31.648,2.0,109.8,13:57.132,11:38:57.132,0:26.848,0:23.300,0:31.648,,Daniel ABT,,,A,Audi Sport Abt Schaeffler Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,1.0,3.0,1:20.385,2.0,,25.933,2.0,22.693,2.0,31.759,0.0,111.7,15:17.517,11:40:17.517,0:25.933,0:22.693,0:31.759,,Daniel ABT,,,A,Audi Sport Abt Schaeffler Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,1.0,1.0,10:43.047,0.0,,9:42.598,0.0,26.715,0.0,33.734,0.0,3.3,10:43.047,11:35:43.047,9:42.598,0:26.715,0:33.734,,JosÃ© Maria LOPEZ,0:09:18.132,,A,GEOX DRAGON,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,1.0,2.0,1:20.661,0.0,,25.938,0.0,22.668000000000003,0.0,32.055,0.0,111.3,12:03.708,11:37:03.708,0:25.938,0:22.668,0:32.055,,JosÃ© Maria LOPEZ,,,A,GEOX DRAGON,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,1.0,3.0,1:18.113,2.0,,25.261,2.0,21.912,2.0,30.940,2.0,114.9,13:21.821,11:38:21.821,0:25.261,0:21.912,0:30.940,,JosÃ© Maria LOPEZ,,,A,GEOX DRAGON,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,1.0,4.0,2:22.803,0.0,B,31.305,0.0,25.559,0.0,1:25.939,0.0,62.9,15:44.624,11:40:44.624,0:31.305,0:25.559,1:25.939,,JosÃ© Maria LOPEZ,,,A,GEOX DRAGON,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,1.0,2:17.792,0.0,,1:14.167,0.0,27.746,0.0,35.879,0.0,15.5,2:17.792,11:27:17.792,1:14.167,0:27.746,0:35.879,,Tom DILLMANN,0:00:48.992,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,2.0,1:20.857,0.0,,25.940,0.0,22.480999999999998,0.0,32.436,0.0,111.0,3:38.649,11:28:38.649,0:25.940,0:22.481,0:32.436,,Tom DILLMANN,,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,3.0,1:19.688,0.0,,25.709,0.0,22.179000000000002,0.0,31.800,0.0,112.7,4:58.337,11:29:58.337,0:25.709,0:22.179,0:31.800,,Tom DILLMANN,,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,4.0,1:19.179,0.0,,25.396,0.0,22.093000000000004,0.0,31.690,0.0,113.4,6:17.516,11:31:17.516,0:25.396,0:22.093,0:31.690,,Tom DILLMANN,,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,5.0,1:18.797,0.0,,25.298,0.0,21.949,0.0,31.550,0.0,113.9,7:36.313,11:32:36.313,0:25.298,0:21.949,0:31.550,,Tom DILLMANN,,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,6.0,1:18.633,0.0,,25.127,0.0,21.86,0.0,31.646,0.0,114.2,8:54.946,11:33:54.946,0:25.127,0:21.860,0:31.646,,Tom DILLMANN,,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,7.0,1:19.891,0.0,,24.961,4.0,21.956999999999997,0.0,32.973,0.0,112.4,10:14.837,11:35:14.837,0:24.961,0:21.957,0:32.973,,Tom DILLMANN,,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,8.0,1:17.893,2.0,,25.247,0.0,21.813000000000002,4.0,30.833,2.0,115.3,11:32.730,11:36:32.730,0:25.247,0:21.813,0:30.833,,Tom DILLMANN,,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,9.0,1:52.467,0.0,B,28.871,0.0,25.145,0.0,58.451,0.0,79.8,13:25.197,11:38:25.197,0:28.871,0:25.145,0:58.451,,Tom DILLMANN,,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.0,10.0,1:41.470,0.0,B,,0.0,,0.0,,0.0,88.5,15:06.667,11:40:06.667,,,,,Tom DILLMANN,,,A,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,1.0,1.0,4:40.343,0.0,,3:34.657,0.0,27.215,0.0,38.471,0.0,7.6,4:40.343,11:54:40.343,3:34.657,0:27.215,0:38.471,,Oliver TURVEY,0:03:09.850,,B,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,1.0,2.0,1:22.569,0.0,,26.576,0.0,23.135,0.0,32.858,0.0,108.7,6:02.912,11:56:02.912,0:26.576,0:23.135,0:32.858,,Oliver TURVEY,,,B,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,1.0,3.0,1:19.912,2.0,,25.636,2.0,22.279,2.0,31.997,2.0,112.4,7:22.824,11:57:22.824,0:25.636,0:22.279,0:31.997,,Oliver TURVEY,,,B,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,1.0,4.0,8:41.200,0.0,B,28.622,0.0,25.276,0.0,7:47.302,0.0,17.2,16:04.024,12:06:04.024,0:28.622,0:25.276,7:47.302,,Oliver TURVEY,,,B,NIO Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,1.0,1.0,3:46.872,0.0,,2:44.373,0.0,26.894000000000002,0.0,35.605,0.0,9.4,3:46.872,11:53:46.872,2:44.373,0:26.894,0:35.605,,Gary PAFFETT,0:02:21.424,,B,HWA RACELAB,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,1.0,2.0,1:21.954,0.0,,26.493,0.0,23.043000000000003,0.0,32.418,0.0,109.6,5:08.826,11:55:08.826,0:26.493,0:23.043,0:32.418,,Gary PAFFETT,,,B,HWA RACELAB,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,1.0,3.0,1:19.929,2.0,,25.613,2.0,22.857,2.0,31.459,2.0,112.3,6:28.755,11:56:28.755,0:25.613,0:22.857,0:31.459,,Gary PAFFETT,,,B,HWA RACELAB,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,1.0,4.0,3:42.745,0.0,B,27.089,0.0,24.761999999999997,0.0,2:50.894,0.0,40.3,10:11.500,12:00:11.500,0:27.089,0:24.762,2:50.894,,Gary PAFFETT,,,B,HWA RACELAB,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,1.0,1.0,14:35.463,0.0,B,11:41.051,0.0,52.413000000000004,0.0,2:01.999,0.0,2.4,14:35.463,12:04:35.463,11:41.051,0:52.413,2:01.999,,Felipe MASSA,0:11:07.701,,B,Venturi Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,1.0,2.0,9:09.728,0.0,,7:57.071,0.0,31.145,0.0,41.512,0.0,16.3,23:45.190,12:13:45.191,7:57.071,0:31.145,0:41.512,,Felipe MASSA,0:08:27.550,,B,Venturi Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,1.0,3.0,1:22.315,0.0,,26.320,0.0,23.58,0.0,32.415,0.0,109.1,25:07.505,12:15:07.506,0:26.320,0:23.580,0:32.415,,Felipe MASSA,,,B,Venturi Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,1.0,4.0,1:20.407,2.0,,25.983,2.0,22.593000000000004,2.0,31.831,2.0,111.7,26:27.912,12:16:27.913,0:25.983,0:22.593,0:31.831,,Felipe MASSA,,,B,Venturi Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,1.0,1.0,14:33.312,0.0,B,11:37.229,0.0,49.825,0.0,2:06.258,0.0,2.5,14:33.312,12:04:33.312,11:37.229,0:49.825,2:06.258,,Mitch EVANS,0:11:01.670,,B,Panasonic Jaguar Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,1.0,2.0,9:05.147,0.0,,7:56.225,0.0,29.596,0.0,39.326,0.0,16.5,23:38.458,12:13:38.459,7:56.225,0:29.596,0:39.326,,Mitch EVANS,0:08:29.348,,B,Panasonic Jaguar Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,1.0,3.0,1:24.183,0.0,,27.039,0.0,23.471,0.0,33.673,0.0,106.7,25:02.641,12:15:02.642,0:27.039,0:23.471,0:33.673,,Mitch EVANS,,,B,Panasonic Jaguar Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,1.0,4.0,1:19.712,2.0,,25.591,2.0,22.307,2.0,31.814,2.0,112.6,26:22.353,12:16:22.354,0:25.591,0:22.307,0:31.814,,Mitch EVANS,,,B,Panasonic Jaguar Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,1.0,1.0,4:01.694,0.0,,2:50.882,0.0,27.701999999999998,0.0,43.110,0.0,8.9,4:01.694,11:54:01.694,2:50.882,0:27.702,0:43.110,,Oliver ROWLAND,0:02:23.121,,B,Nissan e.dams,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,1.0,2.0,1:20.849,0.0,,26.131,2.0,22.383000000000003,0.0,32.335,0.0,111.1,5:22.543,11:55:22.543,0:26.131,0:22.383,0:32.335,,Oliver ROWLAND,,,B,Nissan e.dams,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,1.0,3.0,1:19.755,2.0,,26.206,0.0,22.144000000000002,2.0,31.405,2.0,112.6,6:42.298,11:56:42.298,0:26.206,0:22.144,0:31.405,,Oliver ROWLAND,,,B,Nissan e.dams,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,1.0,4.0,5:34.683,0.0,B,27.993,0.0,23.531999999999996,0.0,4:43.158,0.0,26.8,12:16.981,12:02:16.981,0:27.993,0:23.532,4:43.158,,Oliver ROWLAND,,,B,Nissan e.dams,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,1.0,14:29.048,0.0,B,11:15.154,0.0,40.448,0.0,2:33.446,0.0,2.5,14:29.048,12:04:29.048,11:15.154,0:40.448,2:33.446,,Alexander SIMS,0:10:48.869,,B,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,2.0,8:44.468,0.0,,7:45.162,0.0,25.514,0.0,33.792,0.0,17.1,23:13.515,12:13:13.516,7:45.162,0:25.514,0:33.792,,Alexander SIMS,0:08:50.171,,B,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,3.0,1:24.281,0.0,,25.970,0.0,23.081999999999997,0.0,35.229,0.0,106.5,24:37.796,12:14:37.797,0:25.970,0:23.082,0:35.229,,Alexander SIMS,,,B,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group B.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
