ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,ECM ForixTeamId,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_ECM ForixDriverId,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37,file_loc,ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,MANUFACTURER,Unnamed: 25
16.0,36.0,Classified,45.0,56:28.546,+53.000,+0.285,30.0,1:13.707,116.1,DS Virgin Racing,,,,DS Virgin DSV-03,MICHELIN,,,,,,,2016908105.0,,,,Alex,LYNN,,GBR,GBR,LYN,8010.0,,1991015233.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
17.0,68.0,Classified,45.0,56:28.848,+53.302,+0.302,15.0,1:13.505,116.4,NIO Formula E Team,,,,NextEV NIO Sport 003,MICHELIN,,,,,,,2017908102.0,,,,Luca,FILIPPI,,ITA,ITA,FIL,8015.0,,1985080900.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
18.0,6.0,Classified,45.0,56:29.157,+53.611,+0.309,20.0,1:13.408,116.6,DRAGON,,,,PENSKE EV-2,MICHELIN,,,,,,,2016908101.0,,,,JosÃ© Maria,LOPEZ,,ARG,ARG,LOP,8004.0,,1983042600.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
19.0,7.0,Classified,45.0,56:29.835,+54.289,+0.678,6.0,1:13.723,116.1,DRAGON,,,,PENSKE EV-2,MICHELIN,,,,,,,2016908101.0,,,,JÃ©rÃ´me,D'AMBROSIO,,BEL,BEL,DAM,1084.0,,1985122700.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
20.0,27.0,Classified,45.0,56:42.500,+1:06.954,+12.665,26.0,1:13.669,116.2,Andretti Formula E,,,,Andretti ATEC-03,MICHELIN,,,,,,,2017908103.0,,,,StÃ©phane,SARRAZIN,,FRA,FRA,SAR,1113.0,,1974110200.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,1.0,1:19.719,0.0,,32.135999999999996,0.0,23.111,0.0,24.472,0.0,107.3,1:19.719,18:05:03.941,0:32.136,0:23.111,0:24.472,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,2.0,1:14.541,0.0,,26.549,0.0,23.474,0.0,24.518,0.0,114.8,2:34.260,18:06:18.482,0:26.549,0:23.474,0:24.518,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,3.0,1:13.010,0.0,,26.336,0.0,22.677,0.0,23.997,2.0,117.2,3:47.270,18:07:31.492,0:26.336,0:22.677,0:23.997,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,4.0,1:13.067,0.0,,26.195,0.0,22.608,0.0,24.264,0.0,117.1,5:00.337,18:08:44.559,0:26.195,0:22.608,0:24.264,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,5.0,1:13.538,0.0,,26.338,0.0,22.814,0.0,24.386,0.0,116.4,6:13.875,18:09:58.097,0:26.338,0:22.814,0:24.386,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,6.0,1:13.760,0.0,,26.463,0.0,22.913,0.0,24.384,0.0,116.0,7:27.635,18:11:11.857,0:26.463,0:22.913,0:24.384,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,7.0,1:13.675,0.0,,26.433000000000003,0.0,22.81,0.0,24.432,0.0,116.1,8:41.310,18:12:25.532,0:26.433,0:22.810,0:24.432,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,8.0,1:13.860,0.0,,26.406999999999996,0.0,22.934,0.0,24.519,0.0,115.9,9:55.170,18:13:39.392,0:26.407,0:22.934,0:24.519,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,9.0,1:13.999,0.0,,26.49,0.0,22.903000000000002,0.0,24.606,0.0,115.6,11:09.169,18:14:53.391,0:26.490,0:22.903,0:24.606,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,10.0,1:13.910,0.0,,26.533,0.0,22.837,0.0,24.540,0.0,115.8,12:23.079,18:16:07.301,0:26.533,0:22.837,0:24.540,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,11.0,1:13.221,0.0,,26.340999999999998,0.0,22.553,0.0,24.327,0.0,116.9,13:36.300,18:17:20.522,0:26.341,0:22.553,0:24.327,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,12.0,1:13.152,0.0,,26.418000000000003,0.0,22.271,2.0,24.463,0.0,117.0,14:49.452,18:18:33.674,0:26.418,0:22.271,0:24.463,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,13.0,1:13.674,0.0,,26.438000000000002,0.0,22.671,0.0,24.565,0.0,116.1,16:03.126,18:19:47.348,0:26.438,0:22.671,0:24.565,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,14.0,1:13.618,0.0,,26.233,0.0,22.713,0.0,24.672,0.0,116.2,17:16.744,18:21:00.966,0:26.233,0:22.713,0:24.672,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,15.0,1:13.487,0.0,,26.483,0.0,22.660999999999998,0.0,24.343,0.0,116.4,18:30.231,18:22:14.453,0:26.483,0:22.661,0:24.343,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,16.0,1:13.332,0.0,,26.303,0.0,22.67,0.0,24.359,0.0,116.7,19:43.563,18:23:27.785,0:26.303,0:22.670,0:24.359,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,17.0,1:13.199,0.0,,26.226,0.0,22.478,0.0,24.495,0.0,116.9,20:56.762,18:24:40.984,0:26.226,0:22.478,0:24.495,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,18.0,1:13.490,0.0,,26.46,0.0,22.614,0.0,24.416,0.0,116.4,22:10.252,18:25:54.474,0:26.460,0:22.614,0:24.416,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,19.0,1:13.174,0.0,,26.209,0.0,22.502,0.0,24.463,0.0,116.9,23:23.426,18:27:07.648,0:26.209,0:22.502,0:24.463,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,20.0,1:13.213,0.0,,26.285999999999998,0.0,22.558000000000003,0.0,24.369,0.0,116.9,24:36.639,18:28:20.861,0:26.286,0:22.558,0:24.369,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,21.0,1:13.135,0.0,,26.159000000000002,0.0,22.596999999999998,0.0,24.379,0.0,117.0,25:49.774,18:29:33.996,0:26.159,0:22.597,0:24.379,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,22.0,1:13.487,0.0,,26.406,0.0,22.59,0.0,24.491,0.0,116.4,27:03.261,18:30:47.483,0:26.406,0:22.590,0:24.491,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,23.0,1:37.804,0.0,B,26.314,0.0,23.076,0.0,48.414,0.0,87.5,28:41.065,18:32:25.287,0:26.314,0:23.076,0:48.414,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,24.0,1:15.989,0.0,,29.33,0.0,22.535,0.0,24.124,0.0,112.6,29:57.054,18:33:41.276,0:29.330,0:22.535,0:24.124,,Lucas DI GRASSI,0:00:29.850,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,25.0,1:12.823,0.0,,26.162,0.0,22.493000000000002,0.0,24.168,0.0,117.5,31:09.877,18:34:54.099,0:26.162,0:22.493,0:24.168,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,26.0,1:12.675,2.0,,26.099,2.0,22.429000000000002,0.0,24.147,0.0,117.7,32:22.552,18:36:06.774,0:26.099,0:22.429,0:24.147,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,27.0,1:12.885,0.0,,26.206,0.0,22.432,0.0,24.247,0.0,117.4,33:35.437,18:37:19.659,0:26.206,0:22.432,0:24.247,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,28.0,1:13.550,0.0,,26.326999999999998,0.0,22.72,0.0,24.503,0.0,116.3,34:48.987,18:38:33.209,0:26.327,0:22.720,0:24.503,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,29.0,1:13.845,0.0,,26.535999999999998,0.0,22.807,0.0,24.502,0.0,115.9,36:02.832,18:39:47.054,0:26.536,0:22.807,0:24.502,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,30.0,1:13.703,0.0,,26.381,0.0,22.729,0.0,24.593,0.0,116.1,37:16.535,18:41:00.757,0:26.381,0:22.729,0:24.593,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,31.0,1:13.430,0.0,,26.248,0.0,22.787,0.0,24.395,0.0,116.5,38:29.965,18:42:14.187,0:26.248,0:22.787,0:24.395,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,32.0,1:13.611,0.0,,26.365,0.0,22.601999999999997,0.0,24.644,0.0,116.2,39:43.576,18:43:27.798,0:26.365,0:22.602,0:24.644,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,33.0,1:13.849,0.0,,26.462,0.0,22.734,0.0,24.653,0.0,115.9,40:57.425,18:44:41.647,0:26.462,0:22.734,0:24.653,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,34.0,1:13.321,0.0,,26.288,0.0,22.511,0.0,24.522,0.0,116.7,42:10.746,18:45:54.968,0:26.288,0:22.511,0:24.522,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,35.0,1:13.964,0.0,,26.51,0.0,22.857,0.0,24.597,0.0,115.7,43:24.710,18:47:08.932,0:26.510,0:22.857,0:24.597,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,36.0,1:13.770,0.0,,26.428,0.0,22.802,0.0,24.540,0.0,116.0,44:38.480,18:48:22.702,0:26.428,0:22.802,0:24.540,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,37.0,1:13.690,0.0,,26.488000000000003,0.0,22.679000000000002,0.0,24.523,0.0,116.1,45:52.170,18:49:36.392,0:26.488,0:22.679,0:24.523,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,38.0,1:13.903,0.0,,26.503,0.0,22.641,0.0,24.759,0.0,115.8,47:06.073,18:50:50.295,0:26.503,0:22.641,0:24.759,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,39.0,1:13.958,0.0,,26.513,0.0,22.816999999999997,0.0,24.628,0.0,115.7,48:20.031,18:52:04.253,0:26.513,0:22.817,0:24.628,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,40.0,1:13.810,0.0,,26.375,0.0,22.82,0.0,24.615,0.0,115.9,49:33.841,18:53:18.063,0:26.375,0:22.820,0:24.615,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,41.0,1:13.835,0.0,,26.349,0.0,22.835,0.0,24.651,0.0,115.9,50:47.676,18:54:31.898,0:26.349,0:22.835,0:24.651,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,42.0,1:13.743,0.0,,26.339000000000002,0.0,22.784000000000002,0.0,24.620,0.0,116.0,52:01.419,18:55:45.641,0:26.339,0:22.784,0:24.620,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,43.0,1:13.279,0.0,,26.205,0.0,22.737,0.0,24.337,0.0,116.8,53:14.698,18:56:58.920,0:26.205,0:22.737,0:24.337,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,44.0,1:13.594,0.0,,26.264,0.0,22.788,0.0,24.542,0.0,116.3,54:28.292,18:58:12.514,0:26.264,0:22.788,0:24.542,,Lucas DI GRASSI,,,
,,,,,,,,,,Audi Sport ABT Schaeffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2017-2018\Berlin\Race\23_Analysis_Race (32).CSV,1.0,0.0,45.0,1:14.012,0.0,,26.51,0.0,23.029,0.0,24.473,0.0,115.6,55:42.304,18:59:26.526,0:26.510,0:23.029,0:24.473,,Lucas DI GRASSI,,,
