ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,file_loc,ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,MANUFACTURER,Unnamed: 25,Unnamed: 37,POSITION
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,3.0,1:11.586,0.0,,26.685,0.0,20.543000000000003,0.0,24.358,0.0,114.5,3:39.192,16:07:25.487,0:26.685,0:20.543,0:24.358,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,4.0,1:11.640,0.0,,26.699,0.0,20.485,0.0,24.456,0.0,114.4,4:50.832,16:08:37.127,0:26.699,0:20.485,0:24.456,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,5.0,1:11.376,0.0,,26.605,0.0,20.445999999999998,0.0,24.325,0.0,114.8,6:02.208,16:09:48.503,0:26.605,0:20.446,0:24.325,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,6.0,1:11.478,0.0,,26.643,0.0,20.463,0.0,24.372,0.0,114.7,7:13.686,16:10:59.981,0:26.643,0:20.463,0:24.372,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,7.0,1:11.380,0.0,,26.563000000000002,0.0,20.437,0.0,24.380,0.0,114.8,8:25.066,16:12:11.361,0:26.563,0:20.437,0:24.380,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,8.0,1:11.454,0.0,,26.694000000000003,0.0,20.452,0.0,24.308,0.0,114.7,9:36.520,16:13:22.815,0:26.694,0:20.452,0:24.308,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,9.0,1:11.266,0.0,,26.48,0.0,20.491,0.0,24.295,0.0,115.0,10:47.786,16:14:34.081,0:26.480,0:20.491,0:24.295,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,10.0,1:11.476,0.0,,26.592,0.0,20.541999999999998,0.0,24.342,0.0,114.7,11:59.262,16:15:45.557,0:26.592,0:20.542,0:24.342,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,11.0,1:11.850,0.0,,27.006999999999998,0.0,20.534000000000002,0.0,24.309,0.0,114.1,13:11.112,16:16:57.407,0:27.007,0:20.534,0:24.309,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,12.0,1:11.664,0.0,,26.823,0.0,20.561999999999998,0.0,24.279,0.0,114.4,14:22.776,16:18:09.071,0:26.823,0:20.562,0:24.279,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,13.0,1:11.605,0.0,,26.826999999999998,0.0,20.449,0.0,24.329,0.0,114.5,15:34.381,16:19:20.676,0:26.827,0:20.449,0:24.329,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,14.0,1:11.727,0.0,,26.971,0.0,20.418,0.0,24.338,0.0,114.3,16:46.108,16:20:32.403,0:26.971,0:20.418,0:24.338,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,15.0,1:11.833,0.0,,26.844,0.0,20.578000000000003,0.0,24.411,0.0,114.1,17:57.941,16:21:44.236,0:26.844,0:20.578,0:24.411,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,16.0,1:11.825,0.0,,26.834,0.0,20.634,0.0,24.357,0.0,114.1,19:09.766,16:22:56.061,0:26.834,0:20.634,0:24.357,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,17.0,1:11.757,0.0,,26.785,0.0,20.523000000000003,0.0,24.449,0.0,114.2,20:21.523,16:24:07.818,0:26.785,0:20.523,0:24.449,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,18.0,1:12.035,0.0,,26.934,0.0,20.601,0.0,24.500,0.0,113.8,21:33.558,16:25:19.853,0:26.934,0:20.601,0:24.500,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,19.0,1:11.987,0.0,,26.878,0.0,20.613000000000003,0.0,24.496,0.0,113.9,22:45.545,16:26:31.840,0:26.878,0:20.613,0:24.496,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,20.0,1:12.379,0.0,,26.971999999999998,0.0,20.679000000000002,0.0,24.728,0.0,113.3,23:57.924,16:27:44.219,0:26.972,0:20.679,0:24.728,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,21.0,1:13.207,0.0,,27.346999999999998,0.0,20.988000000000003,0.0,24.872,0.0,112.0,25:11.131,16:28:57.426,0:27.347,0:20.988,0:24.872,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,22.0,1:53.325,0.0,B,27.788,0.0,21.093000000000004,0.0,1:04.444,0.0,72.3,27:04.456,16:30:50.751,0:27.788,0:21.093,1:04.444,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,23.0,1:14.003,0.0,,29.645,0.0,20.249000000000002,2.0,24.109,2.0,110.8,28:18.459,16:32:04.754,0:29.645,0:20.249,0:24.109,,Lucas DI GRASSI,0:00:48.879,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,24.0,1:11.224,0.0,,26.529,0.0,20.42,0.0,24.275,0.0,115.1,29:29.683,16:33:15.978,0:26.529,0:20.420,0:24.275,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,25.0,1:11.787,0.0,,26.828000000000003,0.0,20.500999999999998,0.0,24.458,0.0,114.2,30:41.470,16:34:27.765,0:26.828,0:20.501,0:24.458,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,26.0,1:11.240,0.0,,26.59,0.0,20.397000000000002,0.0,24.253,0.0,115.1,31:52.710,16:35:39.005,0:26.590,0:20.397,0:24.253,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,27.0,1:11.070,2.0,,26.449,2.0,20.352999999999998,0.0,24.268,0.0,115.3,33:03.780,16:36:50.075,0:26.449,0:20.353,0:24.268,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,28.0,1:11.147,0.0,,26.463,0.0,20.449,0.0,24.235,0.0,115.2,34:14.927,16:38:01.222,0:26.463,0:20.449,0:24.235,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,29.0,1:11.141,0.0,,26.479,0.0,20.377,0.0,24.285,0.0,115.2,35:26.068,16:39:12.363,0:26.479,0:20.377,0:24.285,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,30.0,1:11.279,0.0,,26.548000000000002,0.0,20.36,0.0,24.371,0.0,115.0,36:37.347,16:40:23.642,0:26.548,0:20.360,0:24.371,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,31.0,1:11.714,0.0,,26.616,0.0,20.545,0.0,24.553,0.0,114.3,37:49.061,16:41:35.356,0:26.616,0:20.545,0:24.553,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,32.0,1:11.767,0.0,,26.766,0.0,20.555,0.0,24.446,0.0,114.2,39:00.828,16:42:47.123,0:26.766,0:20.555,0:24.446,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,33.0,1:11.664,0.0,,26.671,0.0,20.609,0.0,24.384,0.0,114.4,40:12.492,16:43:58.787,0:26.671,0:20.609,0:24.384,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,34.0,1:11.578,0.0,,26.694000000000003,0.0,20.561,0.0,24.323,0.0,114.5,41:24.070,16:45:10.365,0:26.694,0:20.561,0:24.323,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,35.0,1:11.546,0.0,,26.64,0.0,20.531,0.0,24.375,0.0,114.6,42:35.616,16:46:21.911,0:26.640,0:20.531,0:24.375,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,36.0,1:11.378,0.0,,26.59,0.0,20.457,0.0,24.331,0.0,114.8,43:46.994,16:47:33.289,0:26.590,0:20.457,0:24.331,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,37.0,1:11.251,0.0,,26.467,0.0,20.451,0.0,24.333,0.0,115.0,44:58.245,16:48:44.540,0:26.467,0:20.451,0:24.333,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,38.0,1:11.596,0.0,,26.691,0.0,20.545,0.0,24.360,0.0,114.5,46:09.841,16:49:56.136,0:26.691,0:20.545,0:24.360,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,39.0,1:11.652,0.0,,26.65,0.0,20.662,0.0,24.340,0.0,114.4,47:21.493,16:51:07.788,0:26.650,0:20.662,0:24.340,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,40.0,1:11.590,0.0,,26.63,0.0,20.494,0.0,24.466,0.0,114.5,48:33.083,16:52:19.378,0:26.630,0:20.494,0:24.466,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,41.0,1:11.947,0.0,,26.789,0.0,20.593000000000004,0.0,24.565,0.0,113.9,49:45.030,16:53:31.325,0:26.789,0:20.593,0:24.565,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,42.0,1:11.678,0.0,,26.651,0.0,20.429000000000002,0.0,24.598,0.0,114.4,50:56.708,16:54:43.003,0:26.651,0:20.429,0:24.598,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,43.0,1:12.438,0.0,,26.944000000000003,0.0,20.785,0.0,24.709,0.0,113.2,52:09.146,16:55:55.441,0:26.944,0:20.785,0:24.709,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,44.0,1:12.747,0.0,,26.898000000000003,0.0,20.967,0.0,24.882,0.0,112.7,53:21.893,16:57:08.188,0:26.898,0:20.967,0:24.882,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,Mahindra Racing,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,19.0,0.0,1.0,1:16.133,0.0,,31.289,0.0,20.487,0.0,24.357,0.0,107.7,1:16.133,16:05:02.428,0:31.289,0:20.487,0:24.357,,Felix ROSENQVIST,,MAHINDRA,,,
,,,,,,,,,,Mahindra Racing,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,19.0,0.0,2.0,1:12.464,0.0,,27.214000000000002,0.0,20.669,0.0,24.581,0.0,113.1,2:28.597,16:06:14.892,0:27.214,0:20.669,0:24.581,,Felix ROSENQVIST,,MAHINDRA,,,
