,DRIVER_NAME,location,season_year,match_name,match_type,GROUP,TEAM,mean_KPH,std_KPH,med_KPH,max_KPH,min_KPH,range_KPH,skew_KPH,mean_S1,std_S1,med_S1,max_S1,min_S1,range_S1,skew_S1,mean_S2,std_S2,med_S2,max_S2,min_S2,range_S2,skew_S2,mean_S3,std_S3,med_S3,max_S3,min_S3,range_S3,skew_S3,Total_Lap_Num,PIT_TIME_cnt,cnt_CROSSING_FINISH_LINE_IN_PIT,DATE_ONLY,mean_air_temp,std_air_temp,med_air_temp,max_air_temp,min_air_temp,range_air_temp,skew_air_temp,mean_track_temp,std_track_temp,med_track_temp,max_track_temp,min_track_temp,range_track_temp,skew_track_temp,mean_HUMIDITY,std_HUMIDITY,med_HUMIDITY,max_HUMIDITY,min_HUMIDITY,range_HUMIDITY,skew_HUMIDITY,mean_PRESSURE,std_PRESSURE,med_PRESSURE,max_PRESSURE,min_PRESSURE,range_PRESSURE,skew_PRESSURE,mean_WIND_SPEED,std_WIND_SPEED,med_WIND_SPEED,max_WIND_SPEED,min_WIND_SPEED,range_WIND_SPEED,skew_WIND_SPEED
12,Adam CARROLL,Mexico,2016-2017,Groups Qualifying Session,Q,4.0,Panasonic Jaguar Racing,74.66666666666667,62.35353505081596,102.1,118.6,3.3,115.3,-1.5966047669377332,758075.3333333335,1284200.4294440695,18317.0,2240941.0,14968.0,2225973.0,1.7320375556882348,31229.0,2173.630143331653,30993.000000000004,33510.999999999985,29183.000000000004,4327.999999999989,0.4828239912455813,22042.0,2540.206487669851,22255.0,24469.0,19402.0,5067.0,-0.37467848696807504,3.0,3,0,01/04/2017,27.10183571428572,0.5749678437759033,27.4444,27.7222,26.3889,1.3333000000000013,-0.4067878629524634,21.57409999999999,0.2095698032614051,21.6667,21.6667,21.1111,0.5555999999999983,-1.8558017135458564,31.142857142857142,0.3541688016605738,31.0,32.0,31.0,1.0,2.117634293262182,779.4364761904761,0.19819997761502728,779.4984999999999,779.7189999999999,779.143,0.5759999999999081,-0.1845131351922359,7.165412619047618,1.516477922712184,8.04672,8.04672,3.21869,4.82803,-1.4170199749076227
13,Adam CARROLL,Monaco,2016-2017,Qualifying Group 2,Q,2.0,Panasonic Jaguar Racing,96.1,24.769134017966792,104.6,115.5,68.2,47.3,-1.3624008431867214,33179.333333333336,18505.9700997633,24316.0,54450.0,20772.0,33678.0,1.6608621191280002,19260.33333333333,1566.4789603864228,19806.0,20481.0,17494.0,2986.9999999999964,-1.3773236028976137,17196.666666666668,874.4382958981919,16765.0,18203.0,16622.0,1581.0,1.6800855047551726,3.0,3,0,05/13/2017,17.268533333333334,0.022698604949790327,17.2778,17.2778,17.2222,0.05559999999999832,-2.4494897427834137,31.666699999999995,0.0,31.6667,31.6667,31.6667,0.0,0.0,81.0,0.0,81.0,81.0,81.0,0.0,0.0,1014.1933333333333,0.031411250638408814,1014.19,1014.23,1014.16,0.07000000000005002,0.23661688986046617,2.682238333333333,1.3140255065319952,2.414015,4.82803,1.60934,3.21869,0.8573152457159547
14,Adam CARROLL,Montreal2,2016-2017,Qualifying 2 Group 1,Q,1.0,Panasonic Jaguar Racing,89.23333333333332,40.779937877997476,107.6,117.6,42.5,75.1,-1.6156163612682164,75964.66666666669,81551.0835877325,29997.0,170123.0,27774.0,142349.0,1.7306030395277672,31670.0,2007.987300756656,32079.0,33442.0,29489.0,3953.0,-0.8785618065281764,28521.0,1562.9830453335055,29055.0,29747.0,26761.0,2986.0,-1.3579822953078071,3.0,3,0,07/30/2017,25.012344444444437,0.13355767816499825,25.0,25.2222,24.8333,0.3888999999999996,0.023392939711857783,40.50929999999999,0.15573798875950945,40.5556,40.5556,40.0,0.5555999999999983,-3.1478208882910215,52.80555555555556,0.40138648595974336,53.0,53.0,52.0,1.0,-1.6120593148079068,1014.0250000000001,0.027307769694894485,1014.035,1014.05,1013.99,0.05999999999994543,-0.3476263610756115,2.9175675,1.5084037658822844,3.1828,6.3656,0.0,6.3656,0.532882204026327
15,Adam CARROLL,Montreal,2016-2017,Qualifying 1 Group 4,Q,4.0,Panasonic Jaguar Racing,88.93333333333334,39.74636251700693,105.4,117.8,43.6,74.19999999999997,-1.5443307925716585,72521.0,74316.99390448997,31522.0,158307.0,27734.0,130573.0,1.7269897735561457,32873.333333333336,3307.993702130241,33205.0,36003.0,29412.0,6591.0,-0.4466443316151382,29401.33333333333,2864.881207543049,29059.0,32422.0,26723.000000000004,5698.999999999993,0.5300407700556834,3.0,3,0,07/29/2017,21.607942857142852,0.1102572507572092,21.6111,21.7778,21.4444,0.3333999999999975,0.03541278028231038,37.12697142857144,0.21241501216947342,37.2222,37.2222,36.6667,0.5555000000000021,-1.8226897558340671,56.51428571428571,0.5070925528371121,57.0,57.0,56.0,1.0,-0.05975838164745942,1012.5614285714282,0.029320024992281497,1012.56,1012.6,1012.53,0.07000000000005002,0.2817193898331787,4.334673714285715,2.064479119675705,4.24374,8.48747,1.06093,7.42654,0.4820885899525885
17,Adam CARROLL,Newyork,2016-2017,Qualifying 1 Group 3,Q,3.0,Panasonic Jaguar Racing,94.8,19.936900461205095,101.4,110.6,72.4,38.19999999999999,-1.3264431242980657,34904.0,14446.452194224019,28245.0,51479.0,24988.0,26491.0,1.633533215151709,19609.0,1626.6016721988208,19630.0,21225.0,17972.0,3253.0,-0.058086900204748326,22176.33333333333,2014.197193259224,21490.0,24444.000000000004,20595.0,3849.000000000004,1.3553276180066531,3.0,3,0,07/15/2017,27.084142857142854,0.02814363668246167,27.1111,27.1111,27.0556,0.0555000000000021,-0.059758381646828174,29.444399999999984,0.0,29.4444,29.4444,29.4444,0.0,0.0,73.85714285714286,0.3550358012483665,74.0,74.0,73.0,1.0,-2.133801027704846,1012.5142857142857,0.0389030253085357,1012.5,1012.56,1012.43,0.12999999999999545,-0.27727757582588985,2.6674917142857146,1.1613818076692997,2.12187,5.30467,1.06093,4.24374,0.6748513619834092
19,Adam CARROLL,Paris,2016-2017,Qualifying Group 4,Q,4.0,Panasonic Jaguar Racing,87.76666666666667,28.459152013602477,99.6,108.4,55.3,53.10000000000001,-1.5476075589247191,36753.0,32134.51681603444,19144.0,73843.0,17272.0,56571.0,1.7254404080662418,26739.0,1311.9344495819905,27451.0,27541.0,25225.0,2316.0,-1.7228852078554484,22564.33333333333,1210.5413389609344,22744.0,23675.0,21274.0,2401.0,-0.6531708647223564,3.0,3,0,05/20/2017,14.71112,0.07244368157403377,14.7222,14.7778,14.6111,0.16669999999999874,-0.5413273647982495,25.6667,0.2484271523002273,25.5556,26.1111,25.5556,0.5555000000000021,2.236067977499789,69.8,0.44721359549995915,70.0,70.0,69.0,1.0,-2.236067977499758,1017.7280000000001,0.0589067059001239,1017.71,1017.82,1017.68,0.14000000000010004,1.1462466420544755,7.724850000000001,3.095630937708822,8.04672,11.2654,3.21869,8.04671,-0.5901319009021928
21,Adam CARROLL,newyork2,2016-2017,Non Qualifying Practice 3,FP1,4.0,Panasonic Jaguar Racing,94.14285714285715,28.82864151202015,105.0,111.4,8.4,103.0,-2.3995112799317817,28466.380952380958,9343.172456270893,26348.0,68750.0,24755.0,43995.0,4.407086641154083,19035.285714285714,1380.0029761872668,18571.0,23720.0,17677.0,6043.0,2.2774836723464262,72059.71428571429,175929.21538253472,21824.0,792631.0,20318.0,772313.0,3.894429543963233,21.0,21,2,07/16/2017,22.431793656716497,0.24481780399028125,22.4444,22.7778,22.0556,0.7222000000000008,-0.08072182634142139,26.111100000000064,0.0,26.1111,26.1111,26.1111,0.0,0.0,79.96268656716418,0.6693584207279366,80.0,81.0,79.0,2.0,0.04284316433903658,1013.6795149253677,0.0712656301352157,1013.72,1013.82,1013.55,0.2700000000000955,-0.21882973441756232,3.337192014925369,1.3762994524550727,3.1828,7.426539999999999,0.0,7.426539999999999,0.4114038612058943
22,Adam CARROLL,newyork2,2016-2017,Qualifying 2 Group 4,Q,4.0,Panasonic Jaguar Racing,91.66666666666669,21.822312740251284,96.6,110.6,67.8,42.8,-0.9653159823264938,36867.333333333336,17872.836437827467,28141.0,57427.0,25034.0,32393.0,1.6733509583994135,19828.0,1977.7087753256292,20260.0,21554.000000000004,17670.0,3884.000000000004,-0.9360552224664856,23328.33333333333,2117.5987186748416,24389.0,24706.0,20890.0,3816.0,-1.6884867779232615,3.0,3,0,07/16/2017,24.27779999999999,0.0,24.2778,24.2778,24.2778,0.0,0.0,26.666699999999995,0.0,26.6667,26.6667,26.6667,0.0,0.0,76.0,0.0,76.0,76.0,76.0,0.0,0.0,1013.6502857142859,0.02050619910365797,1013.65,1013.68,1013.61,0.06999999999993634,-0.5182400991310867,1.2124928571428566,0.37667168297643844,1.06093,2.12187,1.06093,1.06094,2.133801027704809
29,Alex LYNN,Newyork,2016-2017,Qualifying 1 Group 3,Q,3.0,DS Virgin Racing,97.5,18.24033990911353,104.0,111.6,76.9,34.69999999999999,-1.3999528917928328,33098.666666666664,12675.302218619221,26659.0,47701.0,24936.0,22765.0,1.6961148332756557,19058.33333333333,1493.8193777473011,19094.0,20534.000000000004,17547.0,2987.000000000004,-0.1073814585691626,21858.33333333333,1330.5037892968705,21862.0,23187.0,20526.0,2660.999999999997,-0.012401223371316793,3.0,3,0,07/15/2017,27.084142857142854,0.02814363668246167,27.1111,27.1111,27.0556,0.0555000000000021,-0.059758381646828174,29.444399999999984,0.0,29.4444,29.4444,29.4444,0.0,0.0,73.85714285714286,0.3550358012483665,74.0,74.0,73.0,1.0,-2.133801027704846,1012.5142857142857,0.0389030253085357,1012.5,1012.56,1012.43,0.12999999999999545,-0.27727757582588985,2.6674917142857146,1.1613818076692997,2.12187,5.30467,1.06093,4.24374,0.6748513619834092
30,Alex LYNN,Newyork,2016-2017,Super Pole 1,Q,3.0,DS Virgin Racing,72.1,55.154328932550705,72.1,111.1,33.1,78.0,0.0,96359.0,100663.72136971689,96359.0,167539.0,25179.0,142360.0,0.0,19627.5,2723.0682143493946,19627.5,21553.0,17702.0,3851.0,0.0,21948.5,2168.6964978991414,21948.5,23482.0,20415.0,3067.0,0.0,2.0,2,0,07/15/2017,28.071613253012067,0.23894137599771217,28.2222,28.6111,27.6667,0.9444000000000017,-0.4207306920672043,33.52073493975898,0.49291999312056894,33.3333,34.4444,32.7778,1.6666000000000025,0.3485602639048897,70.60240963855422,0.8545396569333928,70.0,72.0,70.0,2.0,0.8738938585067566,1012.172168674699,0.04938766985377688,1012.19,1012.23,1012.09,0.13999999999998636,-0.39399582419091794,1.4060551807228914,0.6650039743111782,1.06093,3.1828,0.0,3.1828,0.5430667329966783
32,Alex LYNN,newyork2,2016-2017,Non Qualifying Practice 3,FP1,4.0,DS Virgin Racing,90.17857142857143,30.253802776140102,101.9,112.4,4.6,107.8,-2.1048718529151182,29654.857142857138,10058.142226820271,26157.0,63876.0,24413.0,39463.0,3.4861314649408084,19063.571428571428,1300.607710873043,18403.0,21820.0,17822.0,3998.0,1.2603193984560437,132076.07142857142,392227.7345064617,22533.0,1493515.0,20323.0,1473192.0,3.72933626440644,14.0,14,2,07/16/2017,22.431793656716497,0.24481780399028125,22.4444,22.7778,22.0556,0.7222000000000008,-0.08072182634142139,26.111100000000064,0.0,26.1111,26.1111,26.1111,0.0,0.0,79.96268656716418,0.6693584207279366,80.0,81.0,79.0,2.0,0.04284316433903658,1013.6795149253677,0.0712656301352157,1013.72,1013.82,1013.55,0.2700000000000955,-0.21882973441756232,3.337192014925369,1.3762994524550727,3.1828,7.426539999999999,0.0,7.426539999999999,0.4114038612058943
33,Alex LYNN,newyork2,2016-2017,Qualifying 2 Group 4,Q,4.0,DS Virgin Racing,100.23333333333332,13.050031928441149,103.7,111.2,85.8,25.40000000000001,-1.1110437496781642,30328.66666666667,7510.4302362336975,26935.0,38937.0,25114.0,13823.0,1.61820252869727,18949.666666666668,1328.8507566063747,19233.0,20114.0,17502.0,2612.0,-0.9158565722438308,21705.666666666668,1133.0164753141653,21638.0,22871.0,20608.0,2263.0,0.2677930287124081,3.0,3,0,07/16/2017,24.27779999999999,0.0,24.2778,24.2778,24.2778,0.0,0.0,26.666699999999995,0.0,26.6667,26.6667,26.6667,0.0,0.0,76.0,0.0,76.0,76.0,76.0,0.0,0.0,1013.6502857142859,0.02050619910365797,1013.65,1013.68,1013.61,0.06999999999993634,-0.5182400991310867,1.2124928571428566,0.37667168297643844,1.06093,2.12187,1.06093,1.06094,2.133801027704809
34,Alex LYNN,Berlin,2017-2018,Qualifying Group 2,Q,2.0,DS Virgin Racing,97.06666666666666,26.209222295469452,99.1,122.2,69.9,52.3,-0.3470125136436457,39160.0,18831.723898783137,31880.0,60545.0,25055.0,35490.0,1.479639796964902,27538.0,5420.392328973982,28462.0,32437.0,21715.0,10721.999999999996,-0.7448118001179919,26239.33333333333,3135.531268116032,25997.0,29489.0,23232.0,6257.0,0.3457105600126589,3.0,3,0,05/19/2018,20.564833333333333,0.0418098871879214,20.5556,20.6111,20.5,0.11110000000000042,-0.3152520381074976,20.5556,0.0,20.5556,20.5556,20.5556,0.0,0.0,42.0,0.0,42.0,42.0,42.0,0.0,0.0,1015.0583333333334,0.0343025752191711,1015.07,1015.1,1015.0,0.10000000000002274,-0.9480701157658755,4.774203333333333,2.9054877842707696,4.774205,8.48747,1.06093,7.42654,-2.4780707261132944e-06
35,Alex LYNN,Marrakesh,2017-2018,Qualifying Group 2,Q,2.0,DS Virgin Racing,97.86666666666667,47.330891955818174,116.8,132.8,44.0,88.80000000000003,-1.5120482775721185,80130.33333333331,86809.62907611881,31440.0,180356.0,28595.0,151761.0,1.7299581734833849,38715.0,3554.6472398818987,39047.0,42092.0,35006.0,7086.0,-0.4166284921004591,19563.0,2259.753747645971,20642.0,21081.0,16965.999999999996,4115.000000000005,-1.6588011726551686,3.0,3,0,01/13/2018,11.101849999999999,0.02265778012074446,11.1111,11.1111,11.0556,0.05550000000000033,-2.449489742782884,13.888900000000001,0.0,13.8889,13.8889,13.8889,0.0,0.0,92.66666666666667,0.5163977794943199,93.0,93.0,92.0,1.0,-0.9682458365518958,964.3646666666667,0.017557524502865105,964.3760000000001,964.3760000000001,964.342,0.0340000000001055,-0.968245836551854,2.652335,1.1127184920679623,2.652335,4.24374,1.06093,3.18281,0.0
36,Alex LYNN,Mexico city,2017-2018,Qualifying Group 3,Q,3.0,DS Virgin Racing,104.9,13.523559689174553,104.45,121.9,88.8,33.10000000000001,0.19932407513624814,18483.75,5657.046306745832,16415.5,26763.0,14341.0,12422.0,1.7230342313863545,31799.75,3291.934524966539,31567.5,35735.0,28329.0,7406.0,0.2936686628137843,22436.0,3165.443412857036,21924.0,26736.0,19160.0,7576.0,0.9163762164073704,4.0,4,1,03/03/2018,22.96664,0.030453374197286193,22.9444,23.0,22.9444,0.05559999999999832,0.6085806194500678,35.0,0.0,35.0,35.0,35.0,0.0,0.0,44.8,0.44721359549995715,45.0,45.0,44.0,1.0,-2.236067977499758,782.7163999999999,0.05689288180436516,782.73,782.798,782.6619999999999,0.13600000000008095,0.5122408325758387,3.8193619999999995,2.6629219308627885,3.1828,8.48747,2.12187,6.365600000000001,2.0173449450322307
37,Alex LYNN,Mexico city,2017-2018,Super Pole,Q,3.0,DS Virgin Racing,108.86666666666667,11.30589816570684,105.4,121.5,99.7,21.8,1.250082814035414,15336.333333333336,945.1382614905252,15355.0,16271.999999999998,14382.0,1889.9999999999984,-0.08884121775433305,31834.66666666667,4948.57982994448,29611.0,37505.0,28388.0,9117.0,1.6137948740164425,22507.66666666667,3683.113130672655,21778.000000000004,26501.0,19244.0,7256.999999999996,0.8565115094224842,3.0,3,1,03/03/2018,24.049999999999997,0.0611436559805408,24.0556,24.1111,23.9444,0.16669999999999874,-0.3887602664508021,36.7778,0.23421936536314075,36.6667,37.2222,36.6667,0.5555000000000021,1.7787811838447136,40.9,0.7378647873726222,41.0,42.0,39.0,3.0,-1.9084299581774111,782.1981999999999,0.07526220831202021,782.188,782.324,782.12,0.2039999999999509,0.44868079531766014,4.03155,2.110046894033927,4.24374,7.426539999999999,1.06093,6.365609999999999,0.1313477958529569
38,Alex LYNN,Newyork2,2017-2018,Qualifying 2 Group 3,Q,3.0,DS Virgin Racing,83.89999999999998,38.04247626009642,104.5,107.2,40.0,67.2,-1.7222406695752392,40534.0,18352.652315128733,30371.0,61720.0,29511.0,32209.0,1.7277730810440115,26828.66666666667,2420.019903499421,25681.0,29609.0,25196.0,4413.000000000005,1.6541156122763592,28306.33333333333,5165.765899973917,25713.0,34255.0,24951.0,9304.0,1.6897482214450084,3.0,3,0,07/15/2018,22.75556,0.030453374197286193,22.7778,22.7778,22.7222,0.05559999999999832,-0.6085806194500678,23.44442,0.24847187365977563,23.3333,23.8889,23.3333,0.5555999999999983,2.236067977499789,89.0,0.0,89.0,89.0,89.0,0.0,0.0,1014.9399999999999,0.0489897948556821,1014.93,1015.0,1014.87,0.12999999999999545,-0.36146984050828396,1.0609319999999998,0.7501943329031485,1.06093,2.12187,0.0,2.12187,1.9994819132959733e-05
